微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
IyrGUwlrm,#学校开学时间#【最新最全！这些关于开学时间的“官宣”和辟谣，家长必看！】随着疫情积极向好趋势的显现，多地下调应急响应级别，部分省市也明确开学时间。您所在的地区何时才能开学？微信群里流传的“内部通知”靠谱吗？怎样保障孩子们返校后的安全？#师生健康中国健康# 最新最全！这些关于开学时间的“官宣”和辟谣，家长必看！| 特别关注  ,,无,无,TRUE,无,无,2020/3/13 19:20,微博 weibo.com,125,4,6,2
Iy9TxqUR0,#在线辟谣#【辟谣！#网传北京4月开学系谣言#】近日，“北京4月6日大学、中学开学，4月20日小学、幼儿园开学”的消息在多个微信群和朋友圈流传。对此，北京市委教育工委、市教委明确表示，这是一条虚假信息。北京当前疫情防控形势依然严峻复杂，特别是境外疫情呈加速扩散蔓延之势，成为首都防控新的挑战。在这最吃劲的关键阶段，各项防控一刻都不能放松，任何一个环节和细节都不能疏忽。北京开学时间仍要视疫情发展来定。请大家以官方权威发布为准，不造谣、不信谣、不传谣！ 原图 ,,http://wx3.sinaimg.cn/large/65d070aely1gcqc5riujyj20u00u00vn.jpg,无,TRUE,无,无,2020/3/11 22:02,大学生超话,11,2,2,1
IxlGexcIQ,#师生健康中国健康#【#学校开学时间#上热搜！多所高校发声辟谣……】转眼到了3月，想必大家从未如此“期盼”开学！2月28日中央明确，大中小学、幼儿园等开学开园时间原则上继续推迟。但网上关于开学时间的讨论一直未停止，甚至，出现了多起谣言。近日，多所高校发声#在线辟谣#。#共抗疫情爱国力行# http://t.cn/A67ndq7C ,,无,无,TRUE,无,无,2020/3/6 14:11,大学生超话,20,4,3,1
Iwz23hOd5,#教育系统疫情防控# 【转发辟谣！#新冠肺炎最新谣言汇总#】钟南山“预测”各地解除限制时间？北京积水潭医院将建方舱医院？3万只羊赶往二连浩特？…这些说法你听过吗？统统都是假的↓↓不信谣，不传谣，转发辟谣！  [组图共14张] 原图 ,,"http://ww4.sinaimg.cn/large/65d070aely1gce7o7bhy4j20jf0jyq5i.jpg,http://ww3.sinaimg.cn/large/65d070aely1gce7o7ueusj20m60izjtx.jpg,http://ww4.sinaimg.cn/large/65d070aely1gce7o84hlwj20m50lejug.jpg,http://ww4.sinaimg.cn/large/65d070aely1gce7o8ezg0j20m60msmzy.jpg,http://ww1.sinaimg.cn/large/65d070aely1gce7o8uag6j20m60gmtao.jpg,http://ww3.sinaimg.cn/large/65d070aely1gce7o9wa57j20m60l6mzo.jpg,http://ww3.sinaimg.cn/large/65d070aely1gce7oajkxej20m70hzmyz.jpg,http://ww4.sinaimg.cn/large/65d070aely1gce7oay1baj20m50lsdjc.jpg,http://ww1.sinaimg.cn/large/65d070aely1gce7oc5utij20m00ms77l.jpg,http://ww3.sinaimg.cn/large/65d070aely1gce7odaityj20m60lwad2.jpg,http://ww3.sinaimg.cn/large/65d070aely1gce7oeql0aj20m40j30uy.jpg,http://ww3.sinaimg.cn/large/65d070aely1gce7ofc8n7j20m30l0whj.jpg,http://ww3.sinaimg.cn/large/65d070aely1gce7ofro2yj20m60kc0uz.jpg,http://ww4.sinaimg.cn/large/65d070aely1gce7ogvfy0j20m50ms770.jpg",无,TRUE,无,无,2020/3/1 10:21,周日小中哥Android,12,3,4,1
IuaO32UIZ,#师生健康中国健康# 【尽己之力，护我中华】从病毒爆发以来，朋友圈里每天都可以看到有人为武汉加油，为中国加油，亦或是转发有关宣传病毒防护知识或辟谣通知的推文。除此之外，还留下了同学们分享捐款渠道或是主动组织大家捐款、以及因为在微博私信无数医务工作者以帮助他们能及时打车回家后得到回复与感谢时的感动瞬间。#共抗疫情 中国青年在行动# 听从学校应对疫情安排，关注疫情实时动态，不传谣，不信谣，为家庭人员做好宣传工作，用实际行动，尽己所能地为武汉加油，为中国加油！愿江城武汉早日攻克疫情，走出阴影，重塑家园。我们期待着，胜利的号角！http://t.cn/A6h5d9Kd 原图 ,,http://wx2.sinaimg.cn/large/65d070aely1gbw0sxnrpfj20m80m80te.jpg,无,TRUE,无,无,2020/2/14 17:00,微博 weibo.com,10,1,0,1
IsQpSrsTf,#在线辟谣##师生健康中国健康# 不信谣，不传谣！ 母猪开口说话，吃鸡蛋能抵抗疫情？谣言！  ,,无,无,TRUE,无,无,2020/2/5 23:15,周三小中妹Android,8,2,2,1
IsQhn2VwE,#在线辟谣#【母猪开口说话？鸡蛋能治病？六枝警方辟谣，拘留造谣者！】就是她！造谣母猪下崽开口讲话，吃鸡蛋能防疫情！现因散布谣言，被公安机关处以 10 日行政拘留！转给家人，别信了！#师生健康中国健康# 贵阳网的微博视频  ,,无,无,TRUE,无,无,2020/2/5 22:54,点亮青春成长相伴超话,26,3,15,1
IsjDqbeKZ,#在线辟谣#【网传“暂免武汉红十字会救灾物资管理”图片不实 为恶意合成】2月1日，一张“人民日报报道截图”在网上流传。该截图显示：“ 1月31日，国务院在京召开专门视频会议，研究并决定暂停武汉红十字会接收社会捐赠物资并管理发放的工作……”从图片中看，这篇报道刊发于2020年2月1日人民日报第三版。仔细辨别的话，截图相关内容新闻要素大量缺失，文章第一行有明显的格式错误。且规范的称呼，应为武汉市红十字会，而不是武汉红十字会。请广大网友和新闻从业者对网络上的信息仔细辨别，不要轻信谣言。#教育系统疫情防控# [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/65d070aely1gbhwv0phs4j20sw0ozguy.jpg,http://ww2.sinaimg.cn/large/65d070aely1gbhwv0gkipj20b40fp0ut.jpg",无,TRUE,无,无,2020/2/2 11:48,无,37,3,11,2
Irj486i7b,"转发理由:#在线辟谣# 【@红星新闻 ：辟谣！白岩松独家回复：今晚不会对话钟南山】  
原始用户: 中国大学生在线
转发内容: #微博辟谣##今晚没有白岩松对话钟南山#有消息称，今晚（1月26日）9时30分，央视新闻频道(13频道)，白岩松主持《新型冠状病毒肺炎》专题现场直播，钟南山院士介绍疫情。对此，小中通过多个信源确认此信息为谣言。另附相关节目单。  [组图共4张] 原图 ",,无,"http://ww3.sinaimg.cn/large/65d070aely1gba78m8hksj20ci0m8jt1.jpg,http://ww3.sinaimg.cn/large/65d070aely1gba78mir69j20ci0m80u8.jpg,http://ww1.sinaimg.cn/large/65d070aely1gba7bbhve3j20hr0nyab2.jpg,http://ww1.sinaimg.cn/large/65d070aely1gba78nd2i6j20hs0ebq4p.jpg",FALSE,无,无,2020/1/26 20:30,无,16,8,5,1
IriLEu12H,#微博辟谣##今晚没有白岩松对话钟南山#有消息称，今晚（1月26日）9时30分，央视新闻频道(13频道)，白岩松主持《新型冠状病毒肺炎》专题现场直播，钟南山院士介绍疫情。对此，小中通过多个信源确认此信息为谣言。另附相关节目单。  [组图共4张] 原图 ,,"http://ww3.sinaimg.cn/large/65d070aely1gba78m8hksj20ci0m8jt1.jpg,http://ww3.sinaimg.cn/large/65d070aely1gba78mir69j20ci0m80u8.jpg,http://ww1.sinaimg.cn/large/65d070aely1gba7bbhve3j20hr0nyab2.jpg,http://ww1.sinaimg.cn/large/65d070aely1gba78nd2i6j20hs0ebq4p.jpg",无,TRUE,无,无,2020/1/26 19:45,周天小中妹Android,74,41,52,3
IrfH8uKD7,#小中微推# 【转发辟谣！#这些新型肺炎传言是假的#】钟南山院士被传染了？上海已限制外地车牌进沪？成都封高速了?盐水漱口能防新型肺炎？郑州26日空中喷洒防疫药剂？……这些说法你听过吗？#最新新型肺炎谣言汇总#，这些统统都是假的↓↓不信谣，不传谣！转发辟谣！  [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/65d070aely1gb9tqrzfp1j20dw0m8js4.jpg,http://ww1.sinaimg.cn/large/65d070aely1gb9tqs8fm3j20dw0m8mxw.jpg,http://ww4.sinaimg.cn/large/65d070aely1gb9tqsgr9yj20dw0m80tf.jpg,http://ww1.sinaimg.cn/large/65d070aely1gb9tqsqmqfj20dw0m80th.jpg,http://ww3.sinaimg.cn/large/65d070aely1gb9tqt18v4j20dw0m80te.jpg,http://ww1.sinaimg.cn/large/65d070aely1gb9tqtfb6nj20dw0m8js2.jpg,http://ww3.sinaimg.cn/large/65d070aely1gb9tqtulbnj20dw0m8dgk.jpg,http://ww1.sinaimg.cn/large/65d070aely1gb9tqu4lj2j20dw0m8dgj.jpg,http://ww2.sinaimg.cn/large/65d070aely1gb9tqucmm2j20dw0m8js1.jpg",无,TRUE,无,无,2020/1/26 11:55,周天小中妹Android,12,6,2,1
IqVEBCETF,#小中微推# 【转发辟谣！#吸烟喝酒可抵抗疫情系谣言#】白岩松：①抽烟抵抗了SARS也可抵抗新型冠状病毒？这谣言太Low了。②用钟南山院士的画面称“饮高度酒对抗冠状病毒”？真相其实是：75%的酒精能够杀灭病毒，即用医用酒精擦拭手机、双手等日常接触的地方进行消毒是有用的，可没说“喝”！请停止散播谣言！http://t.cn/A6PZbxov ,,无,无,TRUE,无,无,2020/1/24 8:54,周五小中妹Android,32,7,3,1
Iqxg409UF,#小中微推# 【辟谣！这#9个有关新型冠状病毒谣言#别信！】①新型冠状病毒基因序列与SARS相似度达80%；②吸烟能预防病毒感染；③戴多层口罩才能防住病毒；④喝板蓝根、熏醋、吃抗生素能预防病毒感染…这些说法你听过吗？这些统统都是谣言！戳图了解真相↓↓转发辟谣！  [组图共9张] 原图 ,,"http://ww2.sinaimg.cn/large/65d070aely1gb4dklglnbj20rs0sv7ca.jpg,http://ww3.sinaimg.cn/large/65d070aely1gb4dkm2a70j20rs0sv110.jpg,http://ww4.sinaimg.cn/large/65d070aely1gb4dkmtp6dj20rs0svwmb.jpg,http://ww3.sinaimg.cn/large/65d070aely1gb4dkniu2kj20rs0sv7c2.jpg,http://ww1.sinaimg.cn/large/65d070aely1gb4dkojlnsj20rs0svdo5.jpg,http://ww1.sinaimg.cn/large/65d070aely1gb4dkpacwzj20rs0svjzh.jpg,http://ww2.sinaimg.cn/large/65d070aely1gb4dkpzu85j20rs0svjz7.jpg,http://ww4.sinaimg.cn/large/65d070aely1gb4dkqokhyj20rs0svahx.jpg,http://ww4.sinaimg.cn/large/65d070aely1gb4dkrr6uqj20rs0uj479.jpg",无,TRUE,无,无,2020/1/21 18:48,周二小中哥Android,32,18,2,1
