微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
ItgCm4ane,【#辟谣# ！网传锦江之星逃走武汉人系谣言】网传：“各位请注意了，今天从临青路锦江之星宾馆逃跑的武汉人，杨浦警方已经发出追逃通知，这两人是确诊患有新冠状病毒。”经向区卫健委、区公安分局核实，网传内容不属实。请大家不信谣、不传谣。 via.上海杨浦  原图 ,,http://wx1.sinaimg.cn/large/a21f71c6ly1gbp59er66gj20b40m8409.jpg,无,TRUE,无,无,2020/2/8 17:57,iPhone客户端,2,5,6,1
It5jSo9iM,"转发理由:#辟谣#非常时期？勿信谣，勿传谣！！！  
原始用户: 上海供水
转发内容: #辟谣#非常时期？自来水氯气注入？静止两小时才能用？都是谣言！别信！！@上海虹口 @上海宝山发布 @上海发布 @上海杨浦 @上海普陀 @上海静安 @上海徐汇发布 @上海长宁 @上海黄浦 @绿色青浦 @上海闵行 @上海松江发布 @浦东发布 辟谣 l 自来水氯气注入？静止两小时才能用？别信！！  ",,无,无,FALSE,无,无,2020/2/7 13:11,iPhone客户端,3,9,3,1
IsZBWhmWq,【#中日友好医院辟谣瑞德西韦效果显著# 临床研究才开始 怎么可能知道结果？】2月5日下午，中日友好医院王辰、曹彬团队在武汉市金银潭医院宣布启动瑞德西韦治疗新型冠状病毒感染的临床研究。今天，互联网上关于这一药物短时间内已在761位患者身上“全部显效”的说法甚多。对此，中日友好医院副院长曹彬教授对中国青年报记者表示，这一说法不实，“临床研究今天才开始，怎么可能知道结果？”瑞德西韦是美国一款处于研发阶段的药物，作用尚有待验证，也未在任何国家上市。 原图 ,,http://wx1.sinaimg.cn/large/a21f71c6ly1gbn26hkfd4j20go0goq6f.jpg,无,TRUE,无,无,2020/2/6 22:39,iPhone客户端,1,3,5,2
IsVuQ35Ve,#辟谣#非常时期？自来水氯气注入？静止两小时才能用？都是谣言！别信！！via@上海供水 辟谣 l 自来水氯气注入？静止两小时才能用？别信！！  ,,无,无,TRUE,无,无,2020/2/6 12:11,iPhone客户端,6,3,2,1
IsNFS0h3V,【上海奉贤一男子在家喷酒精突然爆炸？谣言！】日前，一段“上海奉贤一男子在家喷酒精突然爆炸”的视频在网上热传。另有网传视频称，这是“楼上扔烟头，正好楼下酒精消毒”。对此传闻，“@上海消防”郑重辟谣：“网传‘上海奉贤一男子在家喷酒精突然爆炸’为不实信息。视频中火情并非发生在上海，火灾原因也非酒精引起，武汉消防、成都网警均已辟谣！不造谣不传谣，共同抗击疫情！”据悉，视频中的火灾是2月3日发生在武汉一小区的一起事故。从目前调查情况看，该起事故并非网传在家使用酒精消毒造成。武汉消防提醒：请广大网友自觉抵制谣言，不造谣、不信谣、不传谣！”http://t.cn/A6PEI7J2 原图 ,,http://wx1.sinaimg.cn/large/a21f71c6ly1gbllhe5iqpj20u00y043o.jpg,无,TRUE,无,无,2020/2/5 16:16,iPhone客户端,1,0,0,3
IskT2wXqW,【辟谣！浦东一居民因喷洒酒精引燃房屋？假的！】近日朋友圈流传着一个火灾照片，并配文如下：一家两口人配合的真棒，女烧菜，男打扫家务在喷洒酒精，这就是结果，家里空气中的大量乙醇燃爆了，家里都烧掉了！浦东新区消防救援支队辟谣：消息不实，请勿信谣传谣。恶意传播谣言将追究法律责任！（来源：浦东119 ）#爱申活暖心春# [组图共2张] 原图 ,,"http://ww4.sinaimg.cn/large/a21f71c6gy1gbi2e489zzj20jk0kbjt1.jpg,http://ww4.sinaimg.cn/large/a21f71c6gy1gbi2e4uqluj20k8cmw7wh.jpg",无,TRUE,无,无,2020/2/2 14:59,iPhone客户端,3,3,4,1
IrKCgsriO,【上海一妇婴收治有武汉接触史孕产妇？院方辟谣：消息不实】1月29日，记者从上海市第一妇婴保健院获悉，该院关注到网络上流传称一妇婴收治有武汉接触史孕产妇。经核实，该消息为不实消息。院方透露，目前全院上下都在投入全市的疫情防控工作中，用心为孕产妇、宝宝和患者们做好服务。http://t.cn/A6P6KhWb 原图 ,,http://wx4.sinaimg.cn/large/a21f71c6ly1gbdm9ke1c8j20ku0rv41b.jpg,无,TRUE,无,无,2020/1/29 18:39,iPhone客户端,1,9,8,1
IrJwy94HA,【从居委会代买菜、扔垃圾看“魔都结界”】“你们在家情况怎么样？量体温了吗？没有发热就好！我们给你送菜来了，老规矩，放在门口，你出来拿一下！门口的垃圾我们帮你带走了。”上海杨浦区的一户人家，大年初二从湖北返沪后，开始了居家隔离。自此，他家采购食物和扔垃圾的活，就被居委会“包了”。 先要说下，这户人家回孝感，是在疫情主要集中在武汉之时。回到上海后，他们应对积极得当：主动联系居委会说明情况，接受居委会安排的量体温、酒精消毒，全家人不出门……可以说，作为普通居民，他们尽了最大努力。 但隔离后的生活保障，是个问题。未出城的居民，在做好防范措施的前提下，出门采购不难。他们却可能陷入无米无菜的困境。好在，家门口的居委会，这次同样给力。 “居委会很关心我们，有任何需求都会在半小时内送上门，他们用行动消除了我们‘与世隔绝’的距离感，让我感觉温暖。”正如这户居民所说，居委会不仅解决了他们的物质需求，消除了他们的后顾之忧，更给了他们心理上的抚慰。这也向社会传达一个信号：隔离的是病毒和潜在风险，绝不是人心与爱。来自政府部门和社会的关爱，只会比平时更多。 据上海市政府新闻发布会通报，上海对来自重点地区人员全面实施居家或集中隔离医学观察，全面落实辖区防控举措，梳理了两周以来重点地区来沪人员，要求各区及时上门，逐一入户对接。目前共隔离观察9804人，居家隔离8706人，集中隔离1098人。 抽象的数字背后，是千千万万基层工作者的辛勤付出。通过报道，我们看到了徐汇区田林街道如何及时辟谣抚民心，虹口区欧阳街道保证隔离居民生活有人管，长宁区北新泾街道的80后社工如何与隔离家庭24小时互动，宝山区杨行镇坚持给每位外来访客量体温…… 一位资深媒体人朋友发朋友圈赞叹，“上海的居委会大爷大妈们真是神奇的力量，无微不至神勇威武……”在上海实施垃圾分类时，她也曾感叹上海基层组织的力量。另一位朋友点评，将居民隔离后的生活保障工作，做到代买菜、代扔垃圾的细致程度，这很“上海”。 每次困难面前，网上都会有“魔都结界”的说法。我想，如果真有“结界”，应该包括这几个方面：全市上下的团结一心、超强的动员能力、高效的执行力，和绣花般的精细和韧性。这种强大的力量，来自2000多万市民的共同努力。人人有责、人人尽责，我们必定会打赢疫情防控阻击战！#爱申活暖心春##网络述年##春节168小时# via@澎湃新闻 ,,无,无,TRUE,无,无,2020/1/29 15:52,iPhone客户端,12,5,6,2
IriUelM6f,#辟谣#【今晚央视新闻1＋1无节目 白岩松不会对话钟南山】#今晚央白岩松不会对话钟南山#   网传今晚九点三十分，央视新闻频道白岩松主持《新型冠状病毒肺炎》 专题现场直播，邀请钟南山院士介绍疫情，请家长朋友们届时观看。1月26日，@红星新闻 记者从央视新闻频道《新闻1＋1》工作人员处获悉，此消息为谣言，今晚央视新闻1＋1无节目，明天才会播出。 http://t.cn/A6Pc0FKn #网络述年##春节168小时##爱申活暖心春# [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/a21f71c6ly1gba7x4latlj20l00bomy3.jpg,http://ww4.sinaimg.cn/large/a21f71c6ly1gba7xcnoa1j20u01hcgre.jpg",无,TRUE,无,无,2020/1/26 20:06,iPhone客户端,10,6,8,3
IriDxfWkY,【辟谣！网传武汉来沪5人入住建国宾馆并全部感染为假消息！】近日在网上流传的“武汉来沪旅游客人一行5人入住徐汇区漕溪北路建国宾馆，全部感染新型冠状病毒。”为谣言。根据区文旅局核实，位于徐汇区漕溪北路的上海建国宾馆1月19日以后的入住情况显示，没有接待过武汉来沪的游客。根据区卫健委的疫情统计，截止到1月25日，在六院确诊的病例中，没有有建国宾馆入住史的患者。#网络述年##春节168小时##爱申活暖心春# 原图 ,,http://wx1.sinaimg.cn/large/a21f71c6ly1gba6ql183ej20i90fbabb.jpg,无,TRUE,无,无,2020/1/26 19:25,iPhone客户端,27,8,12,3
IqN305JTx,#网络述年##便民提醒#辟谣来了！这7个预防肺炎的方法不靠谱！  原图 ,,http://wx1.sinaimg.cn/large/a21f71c6gy1gb685ob73oj20p65e2b2a.jpg,无,TRUE,无,无,2020/1/23 11:00,微博 weibo.com,12,6,8,1
IqI4Y9ObY,【辟谣！喝板蓝根和熏醋不能预防新型冠状病毒感染的肺炎】#健康资讯#新型冠状病毒感染的肺炎发生以来，囤板蓝根、熏醋的声音越来越多，它们真能有效预防吗？@健康中国 说：板蓝根对冠状病毒是不可能有效的；熏醋也达不到消毒的效果。  [组图共2张] 原图 ,,"http://ww4.sinaimg.cn/large/a21f71c6ly1gb5pchzw9sj20ed09edgy.jpg,http://ww4.sinaimg.cn/large/a21f71c6ly1gb5pci6dxpj20dc08yt9p.jpg",无,TRUE,无,无,2020/1/22 22:21,iPhone客户端,6,4,4,1
