微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
J9jANgDGT,【6月十大网络谣言出炉 围绕新冠疫情的谣言依然不少  转扩周知！】#微博辟谣# 2020年上半年即将结束，北京及各地的新冠疫情广受关注。而围绕新冠派生出的谣言依然不少，安徽老人因无健康码徒步千里到浙江、湖北孝感无人认领私家车车主因抗疫去世、李兰娟提醒北京疫情可能全面大爆发……一起来看看都有哪些？ [组图共9张] 原图 ,,"http://ww1.sinaimg.cn/large/6a011458gy1ggcfj26h7mj20j60k6wh8.jpg,http://ww3.sinaimg.cn/large/6a011458gy1ggcfj28epaj20j60k6tbw.jpg,http://ww4.sinaimg.cn/large/6a011458gy1ggcfj2852dj20j60k6tbw.jpg,http://ww4.sinaimg.cn/large/6a011458gy1ggcfj2d0d8j20j60k6n0d.jpg,http://ww4.sinaimg.cn/large/6a011458gy1ggcfj2aa3uj20j60k6q5x.jpg,http://ww1.sinaimg.cn/large/6a011458gy1ggcfj29e57j20j60k6wh8.jpg,http://ww3.sinaimg.cn/large/6a011458gy1ggcfj2dh8lj20j60k6jus.jpg,http://ww3.sinaimg.cn/large/6a011458gy1ggcfj2fpbvj20j60k6777.jpg,http://ww4.sinaimg.cn/large/6a011458gy1ggcfj2g0p2j20j60k6whx.jpg",无,TRUE,无,无,2020/7/2 11:30,微博 weibo.com,1,10,0,1
IwagnhWrH,【网传“厦门湿地公园闲逛人员被集中背防疫手册”系谣言！】近日，一则内容为“厦门湿地公园闲逛人员，背防疫手册，背不会天黑不准回家”的图文消息在微博和微信群中传播。经核实，图片显示地点不是厦门，该内容系谣言。类似谣言还在西安、信阳等地传播，相关地区均已辟谣。警方提醒:共同维护网络清朗环境，不传谣不信谣。 原图 ,,http://wx3.sinaimg.cn/large/6a011458gy1gcb6crstbmj20qo10vwjj.jpg,无,TRUE,无,无,2020/2/27 19:17,HUAWEI P20,21,13,27,3
