微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
Iz0OkdI6J,"转发理由:#微博辟谣# #北京海关辟谣11万人从欧洲到北京#  
原始用户: 北京海关12360
转发内容: #微博辟谣#北京海关声明     3月16日，有网络传言：“北京海关向国内航空公司汇总欧洲至北京航班机票预订情况，中午统计结果出来了，未来一周有11万人从欧洲各地到北京。”     经核实，我关未开展过此项调查，该消息为虚假信息。     请广大网民理性对待网络信息，不信谣，不传谣。感谢大家对北京海关工作的关注。                                                                          北京海关                                                                 2020年3月17日 ",,无,无,FALSE,无,无,2020/3/17 12:44,无,12,15,10,2
IyPXn1hNX,"转发理由:#微博辟谣# #警方通报# 这段时间借疫情造谣的人少了好多，没想到又冒出一个  
原始用户: 南京栖霞警方
转发内容: 警方通报  原图 ",,无,http://wx2.sinaimg.cn/large/89b96ccagy1gculo2pn1uj20u024ikjm.jpg,FALSE,无,无,2020/3/16 9:06,微博 weibo.com,37,5,19,1
IwBSybhb0,"转发理由:#微博辟谣# 三账号因发布不实信息被禁言90天！  
原始用户: 微博辟谣
转发内容: #微博辟谣# 网传“伊朗官员不戴口罩探望患新冠肺炎副总统”的照片引发关注。经@伊朗驻华大使馆 辟谣指正照片实际拍摄于2014年，当时副总统因车祸受伤住院。现根据《微博社区公约》对发布此类不实信息的@伊万卡粉丝团@思考的老男人@深度News  最早传播的三个账号进行禁言90天的处罚，@北京人民新闻@德州云中心@青训观察员 等12个账号进行禁言15天的处罚。 原图 ",,无,http://wx3.sinaimg.cn/large/6f3f16a9ly1gceh8lbxd2j20g40bftbh.jpg,FALSE,无,无,2020/3/1 17:35,无,40,442,18,2
Iw8sw7BCo,"转发理由:#微博辟谣#   
转发内容: 抱歉，作者已设置仅展示半年内微博，此微博已不可见。  ",,无,无,FALSE,无,无,2020/2/27 14:42,微博 weibo.com,33,9,24,1
IvQ9kz4Wa,#微博辟谣# 【老人因没戴口罩翻墙出小区，结果被栏杆插进了身体？谣言！】近日网传视频称，上海金山南圩新村一老伯因为没戴口罩不敢走正门，就翻小区铁栏，结果栏杆插入身体实际上，疫情期间，该小区住户需凭出入证进入小区，但当天，因出入证被家人拿走，老伯外出后无法进入小区，便想“翻墙而过”。所幸民警消防及时赶到，才没有发生意外。http://t.cn/A6hskmMr ,,无,无,TRUE,无,无,2020/2/25 16:05,微博 weibo.com,51,55,40,2
IuDgqdUWV,"转发理由:#微博辟谣# 造谣账号“微客铁汁”此前曾自称“品葱文宣组”，微博工作人员@来去之间 也证实其近期登陆IP为境外，请广大网友擦亮眼睛，谨防被他人误导！ 查看图片  
原始用户: 中科院之声
转发内容: 【中国科学院武汉病毒所陈全姣声明】  原图 ",,无,http://wx4.sinaimg.cn/large/d0513221ly1gbzi6rq0vyj20tf0nx489.jpg,FALSE,无,无,2020/2/17 17:26,微博 weibo.com,1594,383,218,1
IulDDbCmk,#微博辟谣# 不要出门玩雪，重点是不要出门，病毒并不会通过雪来传播via@丁香医生  原图 ,,http://wx3.sinaimg.cn/large/005VzNEvgy1gbxd244ilpj30u01j8423.jpg,无,TRUE,无,无,2020/2/15 20:34,无,604,18,77,2
ItFWua3WC,"转发理由:#微博辟谣# 当地已非常不易，不要再造谣添乱了！  
原始用户: 江苏共青团
转发内容: 【辟谣】网传#江苏医疗队行李丢失#，最初是混装分拣的带来的误会，被营销号无限放大成谣言。看看视频中当事医护人员怎么说的，别再传谣！目前行李都拿到了，医护人员早已投入紧张的战疫中。向他们致敬！ 千钧客的微博视频 #咱们一定可以克服这场疫情##关于新型冠状病毒的谣言#  ",,无,无,FALSE,无,无,2020/2/11 10:25,无,599,479,147,2
ItFLYfpl9,"转发理由:#微博辟谣# 转条一线现场视频给大家看看，关键时刻，更应该理解武汉、支持武汉，不要仅凭几张毫无根据的聊天截图，就全面否定当地的工作  
原始用户: 直播南京官方版
转发内容: 【南京医疗队顺利到达武汉 连夜忙碌】昨天（2月9日）下午，第五批江苏援湖北医疗队启程出征了，这其中有2支南京市的医疗队共264人。昨晚，他们安全抵达了武汉。从昨晚开始，直南记者与南京市第一医院的医护人员一直保持着联系，通过前方传回的照片、视频得知，原来在抵达之后的这一晚，他们几乎没有休息……可敬可爱的白衣天使们，南京等你平安回家！（记者：杨静文 周洪亮  编辑：胡晓月）#共同战役#  http://t.cn/A6h74pGV ",,无,无,FALSE,无,无,2020/2/11 9:59,微博 weibo.com,119,37,36,2
ItcVo2EmP,"转发理由:#微博辟谣# 网传“千名新冠肺炎疑似病例空降省人医”消息不实！  
原始用户: 南京发布
转发内容: #微博辟谣# 据@江宁发布 ，2月7日下午微信圈群传的“来自江宁的大量疑似病人4位数以上空降省人民医院，要求在8日上午全部检查出来”等信息，经调查核实是谣言。希望公众不信谣不传谣。  原图 ",,无,http://wx2.sinaimg.cn/large/7cfe0d62ly1gbonid2t4kj20yi0u2492.jpg,FALSE,无,无,2020/2/8 8:33,无,36,16,20,1
