微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
IvyIU4MdV,#疫情防控 兰州在行动##兰州事记[超话]#【辟谣！“黄河边闲逛人员，背防疫手册”系谣言】@甘肃发布@中国甘肃网@每日甘肃网@城关发布 @七里河发布 @西固发布 @红古发布 @榆中发布 @兰州新区官方微博 @博爱兰州 @话兰州 @尕兰州 @IN兰州 @时尚兰州 @兰州美 @兰州这点事 @兰州同城 @兰州人说兰州事 @兰州官宣 @行遍陇原 @兰州内参 @兰州全媒体@爱在母亲河畔@新浪甘肃 @兰州_安宁 http://t.cn/A6hr94eG ,,无,无,TRUE,无,无,2020/2/23 19:43,OPPO随光而变R17 Pro,2,4,4,1
Iv3SPzb9e,#疫情防控 甘肃在行动##辟谣# 【速看！“甘肃辟谣”头条号暨甘肃地区辟谣矩阵正式上线启动】20日上午，“甘肃辟谣”头条号正式开通，有579个各级各类头条号、微信公众号、官方微博等账号平台响应加盟的甘肃地区辟谣传播矩阵也将同步启动。　　据悉，为有效助力疫情防控，依法治理网络谣言，甘肃省网络违法和不良信息举报中心着力加大网络举报和辟谣工作力度，在原有“甘肃网络辟谣举报平台”官方微博、“甘肃省网络违法和不良信息举报”微信公众号等新媒体平台的基础上，新开设了“甘肃辟谣”头条号，正式组建完成了全省网络辟谣传播矩阵，旨在广拓辟谣渠道，以权威真实信息压缩谣言传播空间，及时澄清真相，缓解网民恐慌。“让理性赋能大众，让谣言无处遁形”是“甘肃辟谣”头条号暨辟谣矩阵的职责使命所在。　　下一步，甘肃地区辟谣传播矩阵将以“甘肃辟谣”头条号为主推平台，严格落实科学规范、运行高效的稿件采写、核证、汇总、首发和推广工作流程，加大权威发布，回应网民关切，发挥新媒体平台的聚合效应，努力实现对网络谣言“清存量、控增量、断传播”，持续净化网络环境，建设清朗网络空间。　　欢迎广大网民关注“甘肃辟谣”头条号，争做不传谣、不信谣，积极参与网络监督治理的好网民。（稿源： 中国甘肃网）@甘肃发布@中国甘肃网@每日甘肃网@城关发布 @七里河发布 @西固发布 @红古发布 @榆中发布 @兰州新区官方微博 @博爱兰州 @话兰州 @尕兰州 @IN兰州 @时尚兰州 @兰州美 @兰州这点事 @兰州同城 @兰州人说兰州事 @兰州官宣 @行遍陇原 @兰州内参 @兰州全媒体@爱在母亲河畔@新浪甘肃 [组图共2张] 原图 ,,"http://ww2.sinaimg.cn/large/9c8ccb53ly1gc2sh20bfjj20u0132wj8.jpg,http://ww3.sinaimg.cn/large/9c8ccb53ly1gc2sh27rx9j20oo0oomxf.jpg",无,TRUE,无,无,2020/2/20 13:12,OPPO随光而变R17 Pro,0,0,1,2
IuVWwoNU0,#疫情防控 兰州在行动# #兰州事记[超话]# 【疫情防控最后一公里的“守门人”】自新冠肺炎疫情防控工作开展以来，村医郭建就坚守在兰州市七里河区小山口村疫情防控的第一线，“四种身份”诠释医者仁心、守护百姓健康。抢做“排头兵”：冲锋在前，走访排查“家里是否有武汉或者外地返乡的亲戚？请第一时间告诉我”“您是什么时候回来的，从哪里来的？”从1月26日开始，他主动加入防控队伍，成为村级疫情防控大军中的一员。他挨家挨户走访排查，仔细地记录下外来人员返家的时间、交通方式、密切接触史，做好人员信息筛选，进行密切关注。甘当“咨询师”：心理辅导，稳定情绪“大妈，您别担心，您就是普通的感冒，别有心理负担。放心吧，您身体很好的。”他每天都要接打几个这样的电话。现在是冬季流感多发期，又是疫情比较严峻的时候，有的村民们心理上就可能出现担忧。他用专业的医学知识，良好的沟通技巧，打消了村民的顾虑，保障了疫情防控工作稳定有序开展。勇当“宣传员”：主动辟谣，引导群众“大伯，现在还没有特效药。网上疯传的这种药，只是对病毒有抑制作用，也没有预防的作用，您不用抢着购买。”对于村民的恐慌，他耐心地做着解释，让大家不必跟风购买。除此之外，他还积极传播科学防护知识，规范防控行为，告诫村民不信谣、不传谣，以乐观心态带动身边群众，坚定战胜疫情的信心。敢为“监测员”：时时随访，防控到位“体温正常！一定要注意做好自我防护，戴口罩、勤洗手、不出门！”“您目前还在隔离期，请为了自己和家人，做好自我隔离，别乱跑！”他秉持“疫魔无情人有情，万众一心抗疫情”的理想信念，每天2次上门为省外返家人员、居家隔离人员测量体温，问询健康状况，开展健康宣教，疏导他们的情绪。随着疫情地发展，投入到疫情阻击战中的白衣天使越来越多。在逆行者中，还有许多和郭建一样的乡村医生，奋战在农村抗疫一线。他们无惧疫情，坚守岗位，依靠听诊器、体温表、血压仪等相对简陋的“武器”，当好农村疫情防控工作最后一公里的“守门人”。（供稿人：牟艳春  图片拍摄人：崔云孝）@甘肃发布@中国甘肃网@每日甘肃网@城关发布 @七里河发布 @西固发布 @红古发布 @榆中发布 @兰州新区官方微博 @博爱兰州 @话兰州 @尕兰州 @IN兰州 @时尚兰州 @兰州美 @兰州这点事 @兰州同城 @兰州人说兰州事 @兰州官宣 @行遍陇原 @兰州内参 @兰州全媒体@爱在母亲河畔@新浪甘肃 [组图共3张] 原图 ,,"http://ww4.sinaimg.cn/large/9c8ccb53ly1gc1r6baes3j21400u0hdt.jpg,http://ww4.sinaimg.cn/large/9c8ccb53ly1gc1r6ayjyjj21400u0npd.jpg,http://ww3.sinaimg.cn/large/9c8ccb53ly1gc1r6aya0wj21400u0noc.jpg",无,TRUE,无,无,2020/2/19 17:00,微博 weibo.com,2,5,2,2
IuVxXr01f,#疫情防控 兰州在行动##兰州事记[超话]# 【网传兰州市将于3月2日起分批开学？又是谣言！】2 月 19 日，一则关于 " 兰州市开学时间 " 的消息在微信群疯传。据记者了解，这又是一则谣言。记者搜索发现，同样内容的信息在杭州、成都、长沙等国内多地出现，均被当地有关部门辟谣。记者随后联系兰州市教育局，工作人员称各学校具体开学时间和方案还未确定，请家长以官方渠道公布的开学时间为准。（来源：兰州晨报）@甘肃发布@中国甘肃网@每日甘肃网@城关发布 @七里河发布 @西固发布 @红古发布 @榆中发布 @兰州新区官方微博 @博爱兰州 @话兰州 @尕兰州 @IN兰州 @时尚兰州 @兰州美 @兰州这点事 @兰州同城 @兰州人说兰州事 @兰州官宣 @行遍陇原 @兰州内参 @兰州全媒体@爱在母亲河畔@新浪甘肃 原图 ,,http://wx2.sinaimg.cn/large/9c8ccb53ly1gc1rmj0zquj20sg1eltbf.jpg,无,TRUE,无,无,2020/2/19 15:59,360安全浏览器,12,6,20,3
ItyL9DhsG,#共同战疫##疫情防控 兰州在行动# 【辟谣！“兰州市2月10日晚进行大面积消毒工作”系谣言】@甘肃发布@中国甘肃网@每日甘肃网@城关发布 @七里河发布 @西固发布 @红古发布 @榆中发布 @兰州新区官方微博 @博爱兰州 @话兰州 @尕兰州 @IN兰州 @时尚兰州 @兰州美 @兰州这点事 @兰州同城 @兰州人说兰州事 @兰州官宣 @行遍陇原 @兰州内参 @兰州全媒体@爱在母亲河畔 http://t.cn/A6hhQLO1 ,,无,无,TRUE,无,无,2020/2/10 16:08,OPPO随光而变R17 Pro,6,11,3,1
ItyIkoSnV,#辟谣# 【辟谣！“兰州市2月10日晚进行大面积消毒工作”系谣言】网传“兰州市2月10日晚12点对全市主干道进行大面积消杀、消毒工作”。经核实，此消息不属实，系谣言。请广大网友从官方权威渠道获取信息，不传谣、不信谣！  [组图共2张] 原图 ,,"http://ww4.sinaimg.cn/large/9c8ccb53ly1gbrd5ckyokj20n80fh0wv.jpg,http://ww1.sinaimg.cn/large/9c8ccb53ly1gbrd5cymloj20nm0dudjk.jpg",无,TRUE,无,无,2020/2/10 16:01,OPPO随光而变R17 Pro,8,5,10,1
Itf40ENyb,#疫情防控 兰州在行动##共同战疫#【辟谣 | 凭身份证和公交卡乘车系谣言】@甘肃发布@中国甘肃网@每日甘肃网@城关发布 @七里河发布 @西固发布 @红古发布 @榆中发布 @兰州新区官方微博 @博爱兰州 @话兰州 @尕兰州 @IN兰州 @时尚兰州 @兰州美 @兰州这点事 @兰州同城 @兰州人说兰州事 @兰州官宣 @行遍陇原 @兰州内参 @兰州全媒体@爱在母亲河畔 http://t.cn/A6Perj0s ,,无,无,TRUE,无,无,2020/2/8 14:00,微博 weibo.com,4,7,2,1
IsEsmBMNk,#兰州事记[超话]#【辟谣|兰州城市供水集团：城市供水水质稳定达标】@甘肃发布@中国甘肃网@每日甘肃网@城关发布 @七里河发布 @西固发布 @红古发布 @永登法院 @皋兰法院 @兰州新区官方微博 @博爱兰州 @话兰州 @尕兰州 @IN兰州 @时尚兰州 @兰州美 @兰州这点事 @兰州同城 @兰州人说兰州事 @兰州官宣 @行遍陇原 @兰州内参 @兰州全媒体@爱在母亲河畔 http://t.cn/A6PQjhUa ,,无,无,TRUE,无,无,2020/2/4 16:48,OPPO随光而变R17 Pro,4,7,5,1
IrpHZneH9,#关注新型冠状病毒肺炎疫情# 【网传兰州公交线路运营调整？非本地消息！】#微博辟谣# 很多兰州的朋友在问这张图上的信息是否是属实，首先肯定的是这不是兰州市发布的信息，小编没有查到出处，但是可以教给大家一个【甄别方法】打开导航软件→找到实时公交→输入感觉陌生的公交线路→看看查询结果即知是否是本地消息。@兰州公安交警 [组图共4张] 原图 ,,"http://ww4.sinaimg.cn/large/9c8ccb53ly1gbb1ykwm03j20k00won1m.jpg,http://ww2.sinaimg.cn/large/9c8ccb53ly1gbb1ylcr5ej20u01hcn3z.jpg,http://ww3.sinaimg.cn/large/9c8ccb53ly1gbb1ylr394j20u01hcwho.jpg,http://ww2.sinaimg.cn/large/9c8ccb53ly1gbb1ykcfiaj20u01hc409.jpg",无,TRUE,无,无,2020/1/27 13:25,无,7,2,1,1
IrjUDeDHh,#微博辟谣# #万众一心抗击新冠肺炎# 【网传兰州封城高速公路封闭系谣言】目前全市道路及周边环兰高速公路通行正常，没有接到任何部门要封闭的通知。特殊时期，网络各种信息鱼龙混杂，请大家关注官方信息发布，不造谣、不信谣、不传谣！PS：1. 图一系谣言，兰州根本就没有叫南川的地方；2.图二系谣言，高速公路通行正常，根据当前疫情防控要求，肯定要接受检查，但不存在不让进或者不让出的情况。3.图三视频与疫情无关。系今日上午平凉降雪，高速公路因天气和处置交通事故而临时封闭2小时，中午即解除管制。4.图四更是谣言和乌龙，白岩松本人和央视都已辟谣，不再赘述。@兰州公安交警 @博爱兰州 @兰州同城 [组图共4张] 原图 ,,"http://ww1.sinaimg.cn/large/9c8ccb53ly1gbacda7ebgj20tl1gltdw.jpg,http://ww4.sinaimg.cn/large/9c8ccb53ly1gbacdao1lgj20u00t7whu.jpg,http://ww1.sinaimg.cn/large/9c8ccb53ly1gbacd9e6adj20u01hcwjc.jpg,http://ww1.sinaimg.cn/large/9c8ccb53ly1gbacdb16jxj20n20yl7a8.jpg",无,TRUE,无,无,2020/1/26 22:40,无,125,19,46,3
IrjoMce31,#辟谣# 2020年1月26日19时起，兰州市公安局交通警察支队指挥中心122报警台接到多起群众咨询“兰州是否封城”信息，同时监测到部分微信群中散播“兰州封城”相关信息，现已核实此消息系谣言，当前防疫工作信息以官方发布为准。不信谣不传谣，遵守公共秩序，做好自身防护，就是我们最大的贡献。@兰州交警指挥中心 原图 ,,http://wx2.sinaimg.cn/large/9c8ccb53ly1gbaa37yeopj20gu0ed75f.jpg,无,TRUE,无,无,2020/1/26 21:21,无,182,35,100,1
IrfD8k3wM,【转发辟谣！#这些新型肺炎传言是假的#】钟南山院士被传染了？上海已限制外地车牌进沪？成都封高速了?盐水漱口能防新型肺炎？郑州26日空中喷洒防疫药剂？……这些说法你听过吗？#最新新型肺炎谣言汇总#，这些统统都是假的↓↓不信谣，不传谣！转发辟谣！  [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/9c8ccb53ly1gb9tgtnkx7j20dw0m8404.jpg,http://ww1.sinaimg.cn/large/9c8ccb53ly1gb9tgtyroej20dw0m875w.jpg,http://ww1.sinaimg.cn/large/9c8ccb53ly1gb9tguohymj20dw0m8q4h.jpg,http://ww4.sinaimg.cn/large/9c8ccb53ly1gb9tgv5u80j20dw0m8wg4.jpg,http://ww1.sinaimg.cn/large/9c8ccb53ly1gb9tgvhe1uj20dw0m80u8.jpg,http://ww1.sinaimg.cn/large/9c8ccb53ly1gb9tgw6x7lj20dw0m8ta8.jpg,http://ww1.sinaimg.cn/large/9c8ccb53ly1gb9tgwkyu4j20dw0m8tab.jpg,http://ww3.sinaimg.cn/large/9c8ccb53ly1gb9tgx0gbej20dw0m8abm.jpg,http://ww3.sinaimg.cn/large/9c8ccb53ly1gb9tgt6wg9j20dw0m875r.jpg",无,TRUE,无,无,2020/1/26 11:46,无,5,2,2,1
IqRweetF6,#最新新冠肺炎谣言汇总#【转发辟谣！#这些新冠肺炎传言是假的#】熏醋可以预防新型冠状病毒？钟南山院士建议盐水漱口防病毒？抽烟能预防病毒感染？喝酒能杀菌，不易感染？多带层口罩才能防住病毒？…这些说法你听过吗？#最新新冠肺炎谣言汇总#，这些统统都是假的！戳图了解↓↓不信谣，不传谣！扩散周知！  [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/9c8ccb53ly1gb6v0tacroj20go0jntay.jpg,http://ww4.sinaimg.cn/large/9c8ccb53ly1gb6v0tiqowj20go0jntav.jpg,http://ww3.sinaimg.cn/large/9c8ccb53ly1gb6v0tpi4tj20go0jnmzm.jpg,http://ww4.sinaimg.cn/large/9c8ccb53ly1gb6v0twyqzj20go0jn40p.jpg,http://ww4.sinaimg.cn/large/9c8ccb53ly1gb6v0u371uj20go0jnq58.jpg,http://ww3.sinaimg.cn/large/9c8ccb53ly1gb6v0ud51yj20go0jnq55.jpg,http://ww1.sinaimg.cn/large/9c8ccb53ly1gb6v0ukdk4j20go0jnwgs.jpg,http://ww3.sinaimg.cn/large/9c8ccb53ly1gb6v0ur2pbj20go0jnq5h.jpg,http://ww4.sinaimg.cn/large/9c8ccb53ly1gb6v0ux9a8j20go0jngnn.jpg",无,TRUE,无,无,2020/1/23 22:23,OPPO随光而变R17 Pro,3,2,0,1
IqHzLhl1W,【转发辟谣！#关于新型肺炎的9大谣言#】北京协和医院一确诊武汉肺炎患者跑了？武汉市卫健委副主任感染后被隔离？成都男子经武汉停留10分钟被感染新型冠状病毒？新型冠状病毒感染的肺炎引发关注，与之同样赢得“关注”的还有不少谣言。戳图了解↓↓不信谣，不传谣！转扩！  [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/9c8ccb53ly1gb5n4hi0efj20rs18gahv.jpg,http://ww3.sinaimg.cn/large/9c8ccb53ly1gb5n4im48jj20rs18gn5c.jpg,http://ww3.sinaimg.cn/large/9c8ccb53ly1gb5n4iutqrj20rs18ggu2.jpg,http://ww1.sinaimg.cn/large/9c8ccb53ly1gb5n4j7gnvj20rs18gqa0.jpg,http://ww3.sinaimg.cn/large/9c8ccb53ly1gb5n4jjzmtj20rs18gdou.jpg,http://ww3.sinaimg.cn/large/9c8ccb53ly1gb5n4k7i1pj20rs18g45r.jpg,http://ww3.sinaimg.cn/large/9c8ccb53ly1gb5n4koi4tj20rs18gdmm.jpg,http://ww3.sinaimg.cn/large/9c8ccb53ly1gb5n4l2sx4j20rs18g7bg.jpg,http://ww3.sinaimg.cn/large/9c8ccb53ly1gb5n4lerrdj20rs18gwld.jpg",无,TRUE,无,无,2020/1/22 21:04,OPPO随光而变R17 Pro,3,1,0,1
