微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
Is1IzaMnj,"转发理由:#关于食物与肺炎的谣言# 你需要知道！//@气象北京: 辟谣！  
原始用户: 人民日报
转发内容: 【转给身边人！#关于食物与肺炎的谣言#】预防新型冠状病毒感染肺炎，熏白醋、吃大蒜、香油滴鼻孔、吃辣椒等等……全部是假的，只有最后一件事是真的，那就是“均衡营养，才有助提高免疫力！”转发周知！  [组图共9张] 原图 ",,无,"http://ww3.sinaimg.cn/large/a716fd45ly1gbfoelg7ogj20go0jngqn.jpg,http://ww2.sinaimg.cn/large/a716fd45ly1gbfoelf0d4j20go0jnq7q.jpg,http://ww2.sinaimg.cn/large/a716fd45ly1gbfoelf9jnj20go0jntdl.jpg,http://ww2.sinaimg.cn/large/a716fd45ly1gbfoelg8nmj20go0jnq7u.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gbfoelo6zdj20q40b4aaj.jpg,http://ww2.sinaimg.cn/large/a716fd45ly1gbfoelgo14j20go0jnjwg.jpg,http://ww4.sinaimg.cn/large/a716fd45ly1gbfoelgx0wj20go0jn0xm.jpg,http://ww4.sinaimg.cn/large/a716fd45ly1gbfoem1boxj20go0jnafa.jpg,http://ww4.sinaimg.cn/large/a716fd45ly1gbfoem15z6j20go0jn43x.jpg",FALSE,无,无,2020/1/31 14:11,微博 weibo.com,21,8,2,1
IrJk6yiWO,【专家辟谣：病毒通过纸币传播可能性低】近日网络盛传“外出千万不要收现金，当地已经在多批次人民币表面监测新型冠状病毒病原体，特别是小朋友不要接触现金压岁钱”这可吓坏了好多家长！福州市疾病预防控制中心传染病防控科副主任医师郑霄雁说：“纸币作为载体，其被污染的可能性很小，同时病毒在纸币的存活几率很小，因此通过纸币传播的可能性很低，最为简单有效的防护方法就是戴口罩、勤洗手。”（澎湃新闻）#抗击疫情气象在行动# 原图 ,,http://wx2.sinaimg.cn/large/7e369e7ely1gbdgk2xkiqj20d609wq3i.jpg,无,TRUE,无,无,2020/1/29 15:21,iPhone XR,74,14,23,2
