微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
Isdh4z3oO,"转发理由:#双黄连被辟谣#【#双黄连对新型冠状病毒不具针对性#】  
原始用户: 央视新闻
转发内容: #双黄连被辟谣#【#双黄连对新型冠状病毒不具针对性#】中央指导小组医疗小组专家张伯礼：双黄连口服液就是一种普通的中成药，主要成分是金银花、黄芩、连翘三味中药，具有清热解毒的作用。在以往的研究中发现，这些药物是具备广谱抗病毒的作用，但还没有针对新型冠状病毒进行正式临床的研究↓ http://t.cn/A6PpX7g7 ",,无,无,FALSE,无,无,2020/2/1 19:36,HUAWEI P10 Plus,10,0,3,2
IrApLrnPo,【辟谣来了！#这些疫情谣言不要信#】钟南山建议全国人民在家隔离两周？吃大蒜胜过杀病毒的口腔药物？吃香蕉会得新型冠状病毒肺炎？香油滴鼻孔可阻断传染？人中涂风油精可预防呼吸道疾病？熏白醋能消毒空气？……这些都是假的！#最新疫情谣言汇总#，转发周知！@人民日报  [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/677777cdly1gbcd8v7xpnj20go0jn76o.jpg,http://ww2.sinaimg.cn/large/677777cdly1gbcd8vqn46j20go0jn0uu.jpg,http://ww1.sinaimg.cn/large/677777cdly1gbcd8wiodgj20go0jnwgm.jpg,http://ww2.sinaimg.cn/large/677777cdly1gbcd8x0zstj20go0jnq52.jpg,http://ww3.sinaimg.cn/large/677777cdly1gbcd8xzfxoj20go0jnmzh.jpg,http://ww1.sinaimg.cn/large/677777cdly1gbcd8yn2bfj20go0jnmzc.jpg,http://ww1.sinaimg.cn/large/677777cdly1gbcd8z5s5fj20go0jngnv.jpg,http://ww4.sinaimg.cn/large/677777cdly1gbcd8zpvs4j20go0jndi3.jpg,http://ww4.sinaimg.cn/large/677777cdly1gbcd90g8rvj20go0jnjtn.jpg",无,TRUE,无,无,2020/1/28 16:40,世界Android,6,9,4,1
IrilQ9QTG,"转发理由:#辟谣#深圳要“封城”？谣言！！  
原始用户: 深圳微博发布厅
转发内容: #辟谣# 【深圳要“封城”？谣言！】记者1月26日下午从深圳市新型冠状病毒感染的肺炎疫情防控工作领导小组办公室获悉，有关深圳市将要“封城”的信息，是谣言！市防控工作领导小组办公室负责人表示，市委市政府把人民群众生命安全和身体健康放在第一位，把疫情防控工作作为当前最重要的工作来抓。相关部门一手抓疫情防控，一手抓城市运行，全力做好疫情防控物资和力量保障，全力做好市民群众生活必需品供应保障，希望广大市民群众自觉抵制谣言，不信谣、不传谣，共同维护良好的社会秩序，众志成城打赢疫情防控这场硬仗。 原图 ",,无,http://wx2.sinaimg.cn/large/ac6c6d10gy1gba57w28vrj20dw09at8v.jpg,FALSE,无,无,2020/1/26 18:41,Android,323,23,107,1
Irg2D9Nin,【转发辟谣！#这些新型肺炎传言是假的#】钟南山院士被传染了？上海已限制外地车牌进沪？成都封高速了?盐水漱口能防新型肺炎？郑州26日空中喷洒防疫药剂？……这些说法你听过吗？#最新新型肺炎谣言汇总#，这些统统都是假的↓↓不信谣，不传谣！转发辟谣！ #最新疫情地图#  [组图共9张] 原图 ,,"http://ww2.sinaimg.cn/large/677777cdgy1gb9va8aiphj20dw0m8js4.jpg,http://ww3.sinaimg.cn/large/677777cdgy1gb9va8jyffj20dw0m8mxw.jpg,http://ww1.sinaimg.cn/large/677777cdgy1gb9va8sjkmj20dw0m80tf.jpg,http://ww4.sinaimg.cn/large/677777cdgy1gb9va91swnj20dw0m80th.jpg,http://ww4.sinaimg.cn/large/677777cdgy1gb9va9ahi8j20dw0m80te.jpg,http://ww4.sinaimg.cn/large/677777cdgy1gb9va9i89rj20dw0m8js2.jpg,http://ww4.sinaimg.cn/large/677777cdgy1gb9va9s8s3j20dw0m8dgk.jpg,http://ww2.sinaimg.cn/large/677777cdgy1gb9vaa0o3ij20dw0m8dgj.jpg,http://ww1.sinaimg.cn/large/677777cdgy1gb9vaab8u2j20dw0m8js1.jpg",无,TRUE,无,无,2020/1/26 12:48,Android,30,11,8,1
Ir79muMxD,#关注新型肺炎#【转发辟谣！#钟南山院士被传染系谣言#】近日，有网传聊天截图称，钟南山院士被传染。今日上午，澎湃新闻从呼吸疾病国家重点实验室办公室获悉，钟南山院士正在开会；前述被传染的传闻系谣言，该单位正考虑发声辟谣。  原图 ,,http://wx1.sinaimg.cn/large/677777cdgy1gb8s14l0doj20gm0ocacb.jpg,无,TRUE,无,无,2020/1/25 14:10,无,19,3,6,2
Ir6bBBpkV,【官方辟谣！网传武汉“小汤山”换址不实】1月24日，湖北武汉正在参照北京小汤山模式建设医院。网上有传言称，选址靠近知音湖，项目将停工，再异地选址。武汉建工副总经理李芊驳斥，项目经过严格选址，“工人们除夕夜都在挥汗如雨”，谣言让人痛心@共青团中央 。#疫情辟谣#http://t.cn/A6P4xenB  ,,无,无,TRUE,无,无,2020/1/25 11:43,无,30,4,10,1
IqQeU7vO7,【转发辟谣！#这些新冠肺炎传言是假的#】熏醋可以预防新型冠状病毒？钟南山院士建议盐水漱口防病毒？抽烟能预防病毒感染？喝酒能杀菌，不易感染？多戴层口罩才能防住病毒？…这些说法你听过吗？#最新新冠肺炎谣言汇总#，这些统统都是假的！戳图了解↓↓不信谣，不传谣！扩散周知！（人民日报）  [组图共9张] 原图 ,,"http://ww1.sinaimg.cn/large/677777cdgy1gb6pdac3s4j20go0jntay.jpg,http://ww2.sinaimg.cn/large/677777cdgy1gb6pdelvhcj20go0jntav.jpg,http://ww1.sinaimg.cn/large/677777cdgy1gb6pdeo8wdj20go0jnmzm.jpg,http://ww3.sinaimg.cn/large/677777cdgy1gb6pdenmqzj20go0jn40p.jpg,http://ww1.sinaimg.cn/large/677777cdgy1gb6pdemu7mj20go0jnq58.jpg,http://ww3.sinaimg.cn/large/677777cdgy1gb6pdenniuj20go0jnq55.jpg,http://ww1.sinaimg.cn/large/677777cdgy1gb6pdhcyp0j20go0jnwgs.jpg,http://ww2.sinaimg.cn/large/677777cdgy1gb6pdhee7jj20go0jnq5h.jpg,http://ww3.sinaimg.cn/large/677777cdgy1gb6pdhece8j20go0jngnn.jpg",无,TRUE,无,无,2020/1/23 19:07,360安全浏览器,22,24,5,1
IqHx15gVb,【转发辟谣！#关于新型肺炎的9大谣言#】北京协和医院一确诊武汉肺炎患者跑了？武汉市卫健委副主任感染后被隔离？成都男子经武汉停留10分钟被感染新型冠状病毒？新型冠状病毒感染的肺炎引发关注，与之同样赢得“关注”的还有不少谣言。戳图了解↓↓不信谣，不传谣！转扩！  @人民日报  [组图共9张] 原图 ,,"http://ww1.sinaimg.cn/large/677777cdgy1gb5mxg670xj20rs18gjzf.jpg,http://ww1.sinaimg.cn/large/677777cdgy1gb5mxgn19yj20rs18gaih.jpg,http://ww2.sinaimg.cn/large/677777cdgy1gb5mxfqoebj20rs18g11f.jpg,http://ww1.sinaimg.cn/large/677777cdgy1gb5mxh1q8rj20rs18gjyo.jpg,http://ww3.sinaimg.cn/large/677777cdgy1gb5mxhqmigj20rs18gn6f.jpg,http://ww2.sinaimg.cn/large/677777cdgy1gb5mxi5wsbj20rs18gtg6.jpg,http://ww1.sinaimg.cn/large/677777cdgy1gb5mxinw5lj20rs18gwlh.jpg,http://ww4.sinaimg.cn/large/677777cdgy1gb5mxjazm7j20rs18g104.jpg,http://ww4.sinaimg.cn/large/677777cdgy1gb5mxjx4xlj20rs18gah5.jpg",无,TRUE,无,无,2020/1/22 20:57,小可爱iPhone 8 Plus,11,7,0,1
IqwPAe3VM,"转发理由:#微博辟谣##谣言粉碎机#【第28期辟谣榜单来了！】    
原始用户: 深圳网警
转发内容: #微博辟谣##谣言粉碎机#【第28期辟谣榜单来了！】  交警抓车导致有人摔死？东北虎闯民宅吓死爱犬？市场惊现“毒豆腐”？我国离婚率高达44.1%？大家在网上冲浪的时候，一定要对自己的言行负责。不要随意编造、传播、相信谣言，如果你有遇到不确定的类似谣言的信息，欢迎评论区留言求查证~@微博辟谣 @捉谣记 @中国互联网联合辟谣平台  @深圳公安 @微博政务 #深网君小课堂# [组图共9张] 原图 ",,无,"http://ww1.sinaimg.cn/large/75e43301gy1gb45txltzyj20j614egx2.jpg,http://ww4.sinaimg.cn/large/75e43301gy1gb45txtfjnj20j61vpe3u.jpg,http://ww3.sinaimg.cn/large/75e43301gy1gb45txuwcqj20j61rqke2.jpg,http://ww1.sinaimg.cn/large/75e43301gy1gb45txqob7j20j615ktjz.jpg,http://ww3.sinaimg.cn/large/75e43301gy1gb45txtvycj20j61khdxq.jpg,http://ww4.sinaimg.cn/large/75e43301gy1gb45txptolj20j618etn1.jpg,http://ww1.sinaimg.cn/large/75e43301gy1gb45txttswj20j61j2dzr.jpg,http://ww4.sinaimg.cn/large/75e43301gy1gb45txxgz1j20j61sh1a9.jpg,http://ww3.sinaimg.cn/large/75e43301gy1gb45ty2xqwj20j61rwh8v.jpg",FALSE,无,无,2020/1/21 17:43,小可爱iPhone 8 Plus,2,1,1,1
IpqRdljOB,"转发理由:#微博辟谣##谣言粉碎机#【快过年了，请让谣言无处可躲！第27期辟谣榜单来了！】  
原始用户: 深圳网警
转发内容: #微博辟谣##谣言粉碎机#【快过年了，请让谣言无处可躲！第27期辟谣榜单来了！】  南通又现可迷晕他人的肥皂？黑龙江鹤庆发生奸杀案？湖南益阳出现10年来最大凶杀案？进京证3000元可包一年？  马上就过年了，伴随各种亲戚群出现在大家视野中的，一定有很多危言耸听的谣言。请大家保持理智，多关注深网君每周辟谣，做一个家庭辟谣小卫士！如果你有遇到不确定的类似谣言的信息，欢迎评论区留言求查证~@微博辟谣 @捉谣记 @中国互联网联合辟谣平台  @深圳公安 @微博政务 #深网君小课堂# [组图共9张] 原图 ",,无,"http://ww1.sinaimg.cn/large/75e43301gy1gausyso3ykj20j61pg4jd.jpg,http://ww3.sinaimg.cn/large/75e43301gy1gausysp3vhj20j61kuduv.jpg,http://ww3.sinaimg.cn/large/75e43301gy1gausysk5wgj20j61n1k8v.jpg,http://ww3.sinaimg.cn/large/75e43301gy1gausysomy3j20j61xvtuv.jpg,http://ww2.sinaimg.cn/large/75e43301gy1gausysmanmj20j60xydp9.jpg,http://ww1.sinaimg.cn/large/75e43301gy1gausysmzt1j20j61crapo.jpg,http://ww4.sinaimg.cn/large/75e43301gy1gausystsmwj20j61zm7rj.jpg,http://ww1.sinaimg.cn/large/75e43301gy1gausyt2hfvj20j61xtke6.jpg,http://ww3.sinaimg.cn/large/75e43301gy1gausyt6zm5j20j625caxi.jpg",FALSE,无,无,2020/1/14 12:40,微博 weibo.com,11,7,1,1
IoheHjGnn,"转发理由:胖深准时带着本周辟谣榜单来啦#谣言粉碎机##微博辟谣#  一起来看看吧～  
原始用户: 深圳网警
转发内容: #微博辟谣##谣言粉碎机#【第26期辟谣榜单很准时的来啦！】  李天一监狱内组乐队？ 某校检查出13名学生有艾滋？荷兰改名尼德兰？ “械字号面膜、妆字号面膜”？深圳一居民楼倒塌？武汉出港航班发现疑似传染病人？本期谣言涉及到不同领域，五花八门，实在让胖深费解。如果你有遇到不确定的类似谣言的信息，欢迎评论区留言求查证~让我们一起不造谣、不传谣、不信谣，共建清朗网络空间！ @微博辟谣 @捉谣记 @中国互联网联合辟谣平台  @深圳公安 @微博政务 [组图共9张] 原图 ",,无,"http://ww3.sinaimg.cn/large/75e43301gy1gamtuvsskhj20j621e1kx.jpg,http://ww3.sinaimg.cn/large/75e43301gy1gamtuwcw6rj20j61kuh69.jpg,http://ww3.sinaimg.cn/large/75e43301gy1gamtuvz2dzj20j61aewsj.jpg,http://ww4.sinaimg.cn/large/75e43301gy1gamtuvp3soj20j61gy7jj.jpg,http://ww4.sinaimg.cn/large/75e43301gy1gamtuw37glj20j61jywx8.jpg,http://ww2.sinaimg.cn/large/75e43301gy1gamtuvvim8j20j6197tkm.jpg,http://ww3.sinaimg.cn/large/75e43301gy1gamtuw09k0j20j61e2qfi.jpg,http://ww3.sinaimg.cn/large/75e43301gy1gamtuw7u1fj20j61xdqpw.jpg,http://ww4.sinaimg.cn/large/75e43301gy1gamtuw9qqgj20j61if4eq.jpg",FALSE,无,无,2020/1/6 22:20,世界Android,6,0,3,1
