微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
JxuiR8Idr,【辟谣 | 不排除实施封城？官方回应：假的！】对于成都市出现新冠肺炎患者一事，12月8日，网传“成都卫健委：将视情况采取措施，不排除实施封城。”12月8日，成都市卫健委宣传处回应，截至目前，没有发布类似消息。（封面新闻）  原图 ,,http://wx3.sinaimg.cn/large/001F7zcpgy1glg9at6cvlj60b60b7tbm02.jpg,无,TRUE,无,无,2020/12/8 10:53,微博 weibo.com,266,135,113,1
Jxub9zrim,【辟谣 | 网传李泽帅为确诊病例赵某密切接触者？假的！】12月8日，不少网友在朋友圈、微博等社交平台发布信息称，“学生赵某居住于高新区科华南路银泰泰悦湾，为成华区确诊病例赵某的密切接触者……”经核实，关于李泽帅确诊的信息不实。据了解，李泽帅21岁，2020年10月16日从加拿大回北京，10月16号至10月29号在北京集中隔离14天后，又在北京待了10天，于11月8日晚上从北京回到泰悦湾小区，均有核酸检测报告及隔离证明。11月8日至12月5日期间并未去过上述地区活动，并于12月6日凌晨4点多开车至南充，目前在南充回成都的高速上。泰悦湾物业已经联系社区工作人员，等他回成都后，对其进行核酸检测。请各位网友不信谣、不传谣！（四川观察） [组图共3张] 原图 ,,"http://ww1.sinaimg.cn/large/001F7zcpgy1glg8tx3e5hj60j60eemyc02.jpg,http://ww3.sinaimg.cn/large/001F7zcpgy1glg8tx1iyej60ao07xq3w02.jpg,http://ww4.sinaimg.cn/large/001F7zcpgy1glgcv47p9tj60b60b7tbm02.jpg",无,TRUE,无,无,2020/12/8 10:34,微博 weibo.com,422,72,83,3
Ji0ztuIGO,【辟谣！社保疫情补助，没有这回事儿哦！】#都知道#近期，关于社保疫情补助的一些不实消息。在朋友圈、微信群等渠道流传。@成都人社局 来辟谣，下图消息是假的！成都社保局没有发放疫情补助，社保经办服务大厅二楼33、34、35号窗口也没有办理此项业务。疫情期间，天气炎热，请大家不要白跑一趟！  原图 ,,http://wx4.sinaimg.cn/large/5ad2d3c5gy1gi6kdvhhcej20rg0llwt4.jpg,无,TRUE,无,无,2020/8/28 15:37,无,21,19,21,1
JfPHLajCq,【#武汉卫健委辟谣有患者新冠复阳#】据武汉市卫健委官网消息，8月13日，网传“汉兴街新华家园社区有个爹爹新冠复阳了（双阳)，新闻还未公布”，经江汉区卫健局、区疾控中心核实，此信息不实，纯属谣言。请广大市民不要传播涉疫不实信息，自觉做到不造谣、不信谣、不传谣！ （中国新闻网） #同学你好 成都等你# 原图 ,,http://wx1.sinaimg.cn/large/5ad2d3c5gy1ghq0zcge7kj210b0gpzmb.jpg,无,TRUE,无,无,2020/8/14 8:16,iPhone XS Max,9,7,7,1
JeNGjeAO9,【辟谣！网传青石桥疑似新冠病例？其实是锦江区市场监管局开展农贸市场疫情防控演练】#都知道#针对近日“青石桥疑似新冠病例”的传言，今日@成都市场监管 发布消息：8月6日下午，锦江市场监管局举行农贸市场疫情防控应急双盲演练。应急双盲演练以“青石桥农贸市场发现一经营户确诊为新冠病例”为假设开展，以现场模拟形式进行，通过“事发现场处置展示”和“部门联动”方式将场景依次展开。 [组图共2张] 原图 ,,"http://ww2.sinaimg.cn/large/5ad2d3c5gy1ghi6b7ezwbj20ku0netfi.jpg,http://ww3.sinaimg.cn/large/5ad2d3c5gy1ghi6b8niyqj212w0t6tk4.jpg",无,TRUE,无,无,2020/8/7 13:17,无,42,47,26,2
J9iRPdW6H,【新冠病毒变异了，武汉又有几十人中招？官方深夜辟谣】据@健康武汉官微 7月2日消息，有市民在小区业主群里发布消息称：“据说新冠病毒变异了，武汉又有几十人中招。”此消息不实，纯属谣言。武汉自5月31日以来（包括今日），每日均无新增新冠肺炎确诊病例、无新增疑似病例、无新增无症状感染者。请广大市民不信谣、不传谣！（红星新闻） 原图 ,,http://wx1.sinaimg.cn/large/5ad2d3c5gy1ggcdp5jxr5j20gh07eglz.jpg,无,TRUE,无,无,2020/7/2 9:39,微博 weibo.com,17,28,15,3
J6Jkj2cg6,【支付宝、微信同时辟谣】#都知道#近日，网上曾有消息称“支付宝和微信提供数据，锁定35万人帮助进行病毒筛查”。支付宝、微信官方微博声明如下：（成都商报）#成都发布10周年#  [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/5ad2d3c5gy1gfstdm59m8j20ko09kjrv.jpg,http://ww3.sinaimg.cn/large/5ad2d3c5gy1gfstdm5x21j20ig08xweu.jpg",无,TRUE,无,无,2020/6/15 11:29,微博 weibo.com,13,29,7,1
IEjzVC1Xl,【有没有曾被吓呆？看图教你辨别谣言与真相！】#一起长知识啦#上一秒，为疫情缓解，喜极而泣;下一秒，因为一条信息，吓得目瞪口呆? 真相 or 谣言，你是不是也傻傻分不清！戳图教你辨别谣言与真相！↓↓↓ 图据 互联网联合辟谣平台（健康成都官微）  [组图共6张] 原图 ,,"http://ww3.sinaimg.cn/large/5ad2d3c5gy1ge14xpn6r3j20u02d7qgm.jpg,http://ww1.sinaimg.cn/large/5ad2d3c5gy1ge14xprm3sj20u02kdtl7.jpg,http://ww1.sinaimg.cn/large/5ad2d3c5gy1ge14xpe0vtj20u01ktjy9.jpg,http://ww1.sinaimg.cn/large/5ad2d3c5gy1ge14xpir36j20u01vun71.jpg,http://ww2.sinaimg.cn/large/5ad2d3c5gy1ge14xpeffij20lp27vjzl.jpg,http://ww1.sinaimg.cn/large/5ad2d3c5gy1ge14xpiqavj20u01uy7de.jpg",无,TRUE,无,无,2020/4/21 9:43,微博 weibo.com,17,52,9,1
IBADc2kUn,【教育部辟谣：#6月份英语四六级考试取消不实#】针对近日“原6月份大学英语四六级考试取消，与下半年考试合并”的传言，今日教育部考试中心证实，教育部考试中心已于2月底发布公告，推迟全国范围内2020年上半年全国大学英语四六级考试（CET）、全国大学英语四六级口语考试（CET-SET）、全国外语水平考试（WSK）、书画等级考试（CCPT）网上报名工作，并未发布取消考试的通知。（新华社） 原图 ,,http://wx3.sinaimg.cn/large/5ad2d3c5gy1gdgfaosd75j20j60hz419.jpg,无,TRUE,无,无,2020/4/3 11:36,无,13,22,6,2
IzrKHELey,【辟谣！“开学时间”截图疯传？“该市”非成都市！】#都知道#截至目前，四川省教育厅与成都市教育局还暂并未发布任何关于开学的通知，具体开学时间一经确定，定会提前向社会公布，方便师生和家长作出合理安排。请大家切勿轻信谣言，以官方渠道公布的开学时间为准。@成都教育 成都开学时间定了？ 一张截图疯传！“该市”非成都市  原图 ,,http://wx2.sinaimg.cn/large/5ad2d3c5gy1gd0407gj3tj20gf0gft9o.jpg,无,TRUE,无,无,2020/3/20 9:20,微博 weibo.com,605,151,215,2
