微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
JAAIovg4a,#安哥辟谣# 【辽宁省高速公路封闭了？假的！】近日，网传受疫情影响，辽宁省高速公路封闭了。据@辽宁高速通 发布消息，目前只有2处高速收费站因疫情影响临时封闭，全省其他收费站通行正常。安哥：不造谣，不传谣，以官方发布信息为准。@辽宁法制报  原图 ,,http://wx3.sinaimg.cn/large/00688ubUly1gm3uu8ic3uj60u01hce8102.jpg,无,TRUE,无,无,2020/12/28 20:43,无,90,104,50,3
Jy7vkvCPJ,#安哥辟谣#野蛮粗暴的绝非制度，而是p图和造谣。中英双语是个好东西，建议好好读读英文 不信谣不传谣，加油，成都！#南京机场劝返成都旅客是P的# #南京机场劝返旅客谣言太粗暴#  [组图共3张] 原图 ,,"http://ww4.sinaimg.cn/large/00688ubUly1gll2g5o5t5j60yi1ofqgn02.jpg,http://ww3.sinaimg.cn/large/00688ubUly1gll2g68ontj60u01fj44902.jpg,http://ww1.sinaimg.cn/large/00688ubUly1gll2g4yljjj60t01fkdnb02.jpg",无,TRUE,无,无,2020/12/12 14:41,无,535,102,138,3
JxuRdEy10,#安哥辟谣#【成都不排除封城？官方辟谣：假的！】对于成都市出现新冠肺炎患者一事，今日网传“成都卫健委：将视情况采取措施，不排除实施封城” 为不实信息。安哥：不信谣，不传谣，一切以官方通报为准！#成都辟谣实施封城##成都迅速进入战时状态#@四川长安网  原图 ,,http://wx2.sinaimg.cn/large/00688ubUly1glgbtxpqzdj60ku112ds402.jpg,无,TRUE,无,无,2020/12/8 12:18,无,178,288,93,1
Jwttniqyc,#安哥辟谣#【#网传北京出现本地确诊病例系谣言#】今天，北京召开第180场疫情防控新闻发布会，截至11月30日，北京市已连续116天无报告本地确诊病例，192例境外输入确诊病例全部采取了闭环管理和有效的集中隔离治疗，网上传言为不实信息。@北京政法 北京日报都视频的微博视频  ,,无,无,TRUE,"http://f.video.weibocdn.com/tYyqjfYilx07Ir5XIHLi01041202Wfeu0E020.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=5ba176cf04fead39ba6dc923dca8adc5&Expires=1609260671&ssig=cWDlixibHW&KID=unistore,video",无,2020/12/1 18:56,无,82,113,43,2
JvIGpcnYj,#安哥辟谣# 【外卖小哥突发新冠肺炎病情？谣言！】昨日，浙江省杭州市疫情防控冷链食品物防专班联合相关部门在滨江区宝龙城等地开展冷链食品物防应急演练。杭州市疫情防控指挥部也证实并无“滨江区宝龙城外卖小哥突发新冠病情”相关内容。安哥：请关注权威消息，不信谣，不传谣！@浙江政法  原图 ,,http://wx2.sinaimg.cn/large/00688ubUly1gl2tfog6u7j60jz0dbmz802.jpg,无,TRUE,无,无,2020/11/26 19:49,无,75,117,50,3
JvvbweAjy,#安哥辟谣# 【#男子造谣上海封城被行拘#】 11月22日，网上流传“上海封城”的谣言，市疫情防控工作新闻发布会迅速辟谣。目前，警方已抓获造谣者赵某（男，31岁）。经查，赵某为哗众取宠，通过社交媒体发布上述谣言，造成恶劣社会影响。现赵某已被依法行政拘留。安哥：造谣一张嘴，辟谣“跑断腿”。编造谣言者，必严惩！ @上海长安网                  原图                             ,,http://wx1.sinaimg.cn/large/00688ubUly1gl15uegtg1j60u00zo77p02.jpg,无,TRUE,无,无,2020/11/25 9:27,微博 weibo.com,139,195,91,2
JoXrDkblk,#安哥辟谣#【#青岛本次疫情已确诊71例系谣言#】据“青岛辟谣网络平台”微信公众号：12日，几张有关青岛疫情的数据图表在朋友圈流传，有图表中显示青岛累计确诊71例，不少人误以为是本次疫情的数据。经查证，这是年初疫情爆发以来青岛的确诊总量，并非本次疫情的确诊数量。安哥：关注权威消息，不信谣不传谣！                  原图                             ,,http://wx2.sinaimg.cn/large/00688ubUly1gjnela88jij60u01qc0wa02.jpg,无,TRUE,无,无,2020/10/13 8:31,无,151,252,105,2
JnASN2XQf,#安哥辟谣#【别信！#女子造谣北京现4例确诊被行拘7天#】据@平安北京 通报：近日网传“北京已发现确诊4例”的涉疫情虚假信息，系由王某（女，66岁）于10月1日首发至5个微信群内，后被转发8000余次，造成了不良社会影响，严重扰乱了公共秩序。10月3日，该人被房山警方依法行政拘留7日。安哥：不听不信不传谣，消息渠道一定要以官方为准！@北京政法             [组图共2张]      原图                             ,,"http://ww3.sinaimg.cn/large/00688ubUly1gjd19j0rcqj60yi0n6qaf02.jpg,http://ww1.sinaimg.cn/large/00688ubUly1gjd19j9krnj60ol0xl77z02.jpg",无,TRUE,无,无,2020/10/4 9:15,无,155,68,81,2
JkDviAmxq,【辟谣！武汉大学中南医院：#网传彭志勇医生内容严重失实#】9月12日晚间，武汉大学中南医院发布说明，称网传“8.30日记：继续吹哨人，彭志勇医生”内容严重失实。彭志勇医生并未做过此方面的解剖、化验和分析，也未有相关结论，强烈谴责发布者造谣惑众的行径，并保留对造谣者追究法律责任的权力。安哥：造谣者，是何居心？上网者，自有判断！                  原图                             ,,http://wx2.sinaimg.cn/large/00688ubUly1giqjowuue0j60ph0df78x02.jpg,无,TRUE,无,无,2020/9/14 22:24,无,193,106,75,2
JfQU5nfWM,复阳≠复发！复阳≠再次患病！#南京一新冠阳性检测者泉州活动轨迹# #武汉卫健委辟谣有患者新冠复阳#，别怕，别怕！一则视频告诉你，复阳是什么？跟上安哥的步伐学知识，科学看待复阳不恐慌！再唠叨一句，做好个人防护很重要哦！ 中国长安网的微博视频  ,,无,无,TRUE,"http://f.video.weibocdn.com/O8Pwjk4qlx07FCJyFuGA0104120099tz0E010.mp4?label=mp4_hd&template=640x368.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1609264911&ssig=hJ2QRMg2xX&KID=unistore,video",无,2020/8/14 11:20,微博 weibo.com,159,117,77,2
JfJJmnL80,【498元一支！朋友圈的新冠疫苗千万别买】新冠疫苗还未上市，却在朋友圈已经开卖？据上海网络辟谣消息，近日，朋友圈里有微商卖起了新冠疫苗，还不止一款。据了解，该疫苗目前并未上市。安哥：相信科学，别信谣言，借疫情赚“黑心钱”，“银手环”在等着你！@上海长安网 #企业辟谣新冠疫苗朋友圈开卖##新冠疫苗可订购等传闻不实##             [组图共6张]      原图                             ,,"http://ww2.sinaimg.cn/large/00688ubUly1ghpal62z0wj30b00adgm8.jpg,http://ww1.sinaimg.cn/large/00688ubUly1ghpal5w8v1j30hq0fbt9o.jpg,http://ww2.sinaimg.cn/large/00688ubUly1ghpal68ni7j30de0cp74y.jpg,http://ww1.sinaimg.cn/large/00688ubUly1ghpal6jxxhj30hq0gkq3n.jpg,http://ww4.sinaimg.cn/large/00688ubUly1ghpalnxosvj30m80cg3z2.jpg,http://ww4.sinaimg.cn/large/00688ubUly1ghpalo2v7vj30m807274l.jpg",无,TRUE,无,无,2020/8/13 17:04,无,205,239,107,2
JbVwpxX3H,【#美主持人辟谣口罩藏5G天线且致癌#】“口罩里有根5G天线能控制你并让你患上脑癌” 不服这波脑洞的来评论区battle #美国民众怀疑口罩鼻梁条是5G天线#环视频的微博视频  ,,无,无,TRUE,"http://f.video.weibocdn.com/WXqXa5D3lx07EXdzoToc01041200mVir0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1609266171&ssig=yzHcdn7qiH&KID=unistore,video",无,2020/7/19 15:44,微博 weibo.com,241,57,87,2
