微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
J6vimzzee,"转发理由:辟谣！#北京核酸阳性患者去欢乐谷游玩系谣言# 请广大网友不信谣，不传谣！！  
原始用户: 央视新闻
转发内容: 【转！辟谣！#北京核酸阳性患者去欢乐谷游玩系谣言#】北京市朝阳区消息：今日，网传前往朝阳区欢乐谷游玩的房山区居民宋某核酸检测呈阳性一事系谣言。请广大网民不信谣、不传谣！  原图 ",,无,http://wx4.sinaimg.cn/large/9e5389bbly1gfqxft1kqaj20go0gogvn.jpg,FALSE,无,无,2020/6/13 23:46,微博 weibo.com,37,17,2,1
IDJygAsrl,#抗击疫情 央企行动# 【辟谣+打假！！凡遇招摇撞骗者，别犹豫，举报它！】近日，@中国石化 发布熔喷布打假消息，称中国石化熔喷布全部定向供应口罩厂制作口罩，不对其他企业和个人销售。在新冠肺炎疫情防控期间，国内各地纷纷建设口罩生产线，然而市场上生产口罩的主要原材料熔喷布货源短缺。网上流传多种版的中石化熔喷布货源信息。对此，@中国石化 发布声明，按照政府统筹，中国石化熔喷布全部定向供应口罩厂制作口罩，不对其他企业和个人销售，防止中间商囤积投机倒把赚差价。凡是以中石化员工名义或者打着中石化名义出售熔喷布的，全部为招摇撞骗，大家注意，欢迎举报。16日中午，@中国石化 还发了一个辟谣信息，称近期有骗子不仅假冒中国石化的货，还假冒中国石化熔喷料的包装，一个袋子都炒到200块钱。以下为@中国石化 发布的网上流传的假信息。↓ [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/a40e3d09gy1gdwor6gapxj20j60d3gmt.jpg,http://ww3.sinaimg.cn/large/a40e3d09gy1gdwor68ou9j20gm0jgwgb.jpg,http://ww3.sinaimg.cn/large/a40e3d09gy1gdwor678rfj20j109y74l.jpg,http://ww1.sinaimg.cn/large/a40e3d09gy1gdwor68pr1j20l50kvab4.jpg,http://ww1.sinaimg.cn/large/a40e3d09gy1gdwor6f7p6j20m20fqdgt.jpg,http://ww3.sinaimg.cn/large/a40e3d09gy1gdwor6eswyj20cz0j8wey.jpg,http://ww4.sinaimg.cn/large/a40e3d09gy1gdwor677s2j208l0i5aag.jpg,http://ww4.sinaimg.cn/large/a40e3d09gy1gdwor6ge91j208f0hp0t3.jpg,http://ww1.sinaimg.cn/large/a40e3d09gy1gdwor6dk3jj20c50hzglx.jpg",无,TRUE,无,无,2020/4/17 14:00,微博 weibo.com,32,8,7,2
IATD408Pr,"转发理由:【辟谣，请扩！】“中石化不再从沙特进口更多原油”系谣言，请勿信谣传谣  
原始用户: 中国石化
转发内容: 【中石化不再从沙特进口更多原油？谁在造谣！】近日，有网络自媒体如 @大漠鱼 等居然说：中石化近日决定，从4月后不再从沙特进口更多原油。小石头想说，你想多了。中石化一直强调进口渠道多元化，目的就是最大程度地确保资源的稳定供应。目前我们对沙特的合同履行正常。同款产品谁出价低我就进谁的货，这是基本的经营理念。如果是您不知道可以来问中石化新闻办，希望您不要无中生有、暗度陈仓、凭空想象、凭空捏造！ 原图 ",,无,http://wx3.sinaimg.cn/large/cc66fad8ly1gdayctw14dj20u016cgvf.jpg,FALSE,无,无,2020/3/29 22:08,无,199,117,85,1
IsMVQFlN1,【请不要忘记，这个春节，我们要面对的不仅仅是疫情】除夕之夜的一场暴雪让曲靖电网遭受一次重创，大部分电力线路、设备遭到了严重的破坏，多条配网线路陆续发生跳闸，@南网50Hz 曲靖供电人雪地逆行而上的场景让人泪目，为所有战斗在抗击冰雪前沿的一线工作者点赞南网50Hz的微博视频  ,,无,无,TRUE,无,无,2020/2/5 14:23,微博 weibo.com,179,24,19,1
IrgdfcSVf,#抗击疫情 央企行动# 【转发辟谣！】来自@中国建筑 武汉火神山医院一线的声音！争分夺秒抗击疫情，请勿传谣信谣言！武汉火神山医院不是建在武汉备用水源地旁边，在整个场地以下设置了防渗层，项目产生的垃圾和污水也进行集中收集处理。中国建筑的微博视频  ,,无,无,TRUE,无,无,2020/1/26 13:14,360安全浏览器,253,105,18,3
