微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
J2F94AAgi,#特别提醒#【谣言止于“知”者 四川互联网联合辟谣平台今日正式上线】网络时代，每一秒都有无数信息产生，形形色色、难辨真假的信息，不仅出现在亲朋好友微信群里，也出现在网站、APP的各个角落，让人眼花缭乱。鸡蛋不能和豆浆一起吃；香椿致癌；多吃碱性食物有益健康……这些谣言不要信！5月19日，由中共四川省委网信办主管、四川省互联网不良与违法信息举报中心主办、封面新闻承办的四川互联网联合辟谣平台正式上线运行。推荐全家一起关注@四川辟谣 http://t.cn/A627qwSV ,,无,无,TRUE,无,无,2020/5/19 17:30,微博 weibo.com,0,1,0,1
Izskfp81t,"转发理由:辟谣！“开学时间”截图疯传？“该市”非成都市！  
原始用户: 成都发布
转发内容: 【辟谣！“开学时间”截图疯传？“该市”非成都市！】#都知道#截至目前，四川省教育厅与成都市教育局还暂并未发布任何关于开学的通知，具体开学时间一经确定，定会提前向社会公布，方便师生和家长作出合理安排。请大家切勿轻信谣言，以官方渠道公布的开学时间为准。@成都教育 成都开学时间定了？ 一张截图疯传！“该市”非成都市  原图 ",,无,http://wx2.sinaimg.cn/large/5ad2d3c5gy1gd0407gj3tj20gf0gft9o.jpg,FALSE,无,无,2020/3/20 10:47,小布的Android,3,0,2,1
IyGuV1rMb,【315打假！#新冠肺炎辟谣#】连日来，疫情的发展牵动着每个人的心，各种谣言紧随其后。不带口罩驾车被扣6分？体温枪伤眼，造成永久伤害？微波炉加热口罩可以消毒？洗热水澡能预防新型冠状病毒？......看看你避开了多少？让谣言止于“较真”！315新闻打假！你避开了多少？  [组图共9张] 原图 ,,"http://ww1.sinaimg.cn/large/006JagBWgy1gctuiwul1tj30j60v341c.jpg,http://ww4.sinaimg.cn/large/006JagBWgy1gctuiwxkghj30j60v2tbz.jpg,http://ww3.sinaimg.cn/large/006JagBWgy1gctuiwyu1jj30j60v3dij.jpg,http://ww1.sinaimg.cn/large/006JagBWgy1gctuiwz06oj30j60v30vl.jpg,http://ww4.sinaimg.cn/large/006JagBWgy1gctuiwtx2rj30j60v3whk.jpg,http://ww3.sinaimg.cn/large/006JagBWgy1gctuiwzxk7j30j60v3acp.jpg,http://ww4.sinaimg.cn/large/006JagBWgy1gctuix0uitj30j60v3q5s.jpg,http://ww4.sinaimg.cn/large/006JagBWgy1gctuix5uiyj30j60v3tbn.jpg,http://ww2.sinaimg.cn/large/006JagBWgy1gctuixawhfj30j617jdjt.jpg",无,TRUE,无,无,2020/3/15 9:02,微博 weibo.com,0,0,0,1
IwIyJ3KVP,#特别提醒# 近日由日韩抵蓉人员有新冠肺炎患者？成都市卫健委辟谣。#辟谣#  [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/006JagBWgy1gcfdre7e1xj30u05b64qp.jpg,http://ww4.sinaimg.cn/large/006JagBWgy1gcfdrexz80j30u035rarl.jpg",无,TRUE,无,无,2020/3/2 10:36,小布的Android,1,5,5,1
IwzcfhdsI,【转发辟谣！#新冠肺炎最新谣言汇总#】钟南山“预测”各地解除限制时间？北京积水潭医院将建方舱医院？3万只羊赶往二连浩特？…这些说法你听过吗？统统都是假的↓↓不信谣，不传谣，转发辟谣！  [组图共14张] 原图 ,,"http://ww2.sinaimg.cn/large/006JagBWgy1gce8fcghwcj30jf0jyq5i.jpg,http://ww3.sinaimg.cn/large/006JagBWgy1gce8fcwc6sj30m60izjtx.jpg,http://ww1.sinaimg.cn/large/006JagBWgy1gce8fdf0o4j30m50lejug.jpg,http://ww4.sinaimg.cn/large/006JagBWgy1gce8fdu60gj30m60msmzy.jpg,http://ww2.sinaimg.cn/large/006JagBWgy1gce8fe7jhij30m60gmtao.jpg,http://ww1.sinaimg.cn/large/006JagBWgy1gce8fejt5nj30m60l6mzo.jpg,http://ww4.sinaimg.cn/large/006JagBWgy1gce8fevs8ij30m70hzmyz.jpg,http://ww1.sinaimg.cn/large/006JagBWgy1gce8ff7oyuj30m50lsdjc.jpg,http://ww4.sinaimg.cn/large/006JagBWgy1gce8ffotomj30m00ms77l.jpg,http://ww3.sinaimg.cn/large/006JagBWgy1gce8fg35jqj30m60lwad2.jpg,http://ww2.sinaimg.cn/large/006JagBWgy1gce8fghae2j30m40j30uy.jpg,http://ww4.sinaimg.cn/large/006JagBWgy1gce8fgv1kzj30m30l0whj.jpg,http://ww4.sinaimg.cn/large/006JagBWgy1gce8fhaap6j30m60kc0uz.jpg,http://ww1.sinaimg.cn/large/006JagBWgy1gce8fhoynsj30m50ms770.jpg",无,TRUE,无,无,2020/3/1 10:46,小布的Android,0,0,0,1
IuAkM8Ln2,"转发理由:#辟谣# 网传学校将于3月2日起分批开学？假的！成都市教育局辟谣  
原始用户: 成都发布
转发内容: #辟谣#【网传学校将于3月2日起分批开学？假的！成都市教育局辟谣】近日，一张网络截图在成都各个家长群不断流传，截图内容为“疫情防控期间学校开学工作安排情况汇报”“根据省政府2月6日《公告》精神，原则上学校将于3月2日开学”“1、高三年级、初三年级于3月2日开学；高中高一、高二年级、初中初一、初二年级延迟一周开学；小学高年级（四五六年级）延迟2周开学”……对于上述内容，成都市教育局回应，该“情况汇报”与成都市并无关系，具体开学时间还有待公布，请家长切勿听信谣言，以官方渠道公布的开学时间为准。（红星新闻） 原图 ",,无,http://wx1.sinaimg.cn/large/5ad2d3c5gy1gbz4qwq4woj20gf0gf401.jpg,FALSE,无,无,2020/2/17 9:59,小布的Android,1,0,2,1
Iths2noQL,"转发理由:#辟谣# 新冠肺炎患者排长队就诊？省医院辟谣：只是普通门诊患者及陪诊人员  
原始用户: 成都发布
转发内容: #辟谣#【新冠肺炎患者排长队就诊？省医院辟谣：只是普通门诊患者及陪诊人员】近日，网上流传一段视频，称四川省人民医院“新冠肺炎患者排长队就诊”，引起了不少人的担忧。经院方核实，该视频画面中的排队人员为2020年1月31日上午来普通门诊就诊的患者和陪诊人员。  原图 ",,无,http://wx4.sinaimg.cn/large/5ad2d3c5gy1gbp310jkl0j20e40d33yz.jpg,FALSE,无,无,2020/2/8 20:04,小布的Android,2,0,1,1
Iteho4l0U,毛绒衣服更容易吸附新型冠状病毒？大蒜加冰糖煮水喝可以预防治疗新型冠状病毒肺炎？用了7天的N95口罩用吹风机吹可以消毒继续使用？晒太阳可以消毒？……这些统统都是假的！以下这些谣言，你都听过吗？大家注意安全的同时，也要谨记不传谣，不信谣，不造谣！四川发布的微博视频 （四川发布）  ,,无,无,TRUE,无,无,2020/2/8 12:00,生活百科 · 视频社区,1,0,1,1
ItcY7lYuB,【#酒精擦拭比喷洒更安全##84消毒液和洁厕灵不能同时使用#】日前，一则“成都居民家中用酒精消毒引发火灾”的信息被成都消防辟谣。那么大家知道如何正确使用酒精并储存吗？用医用酒精来进行室内消毒，如果医用酒精的储存和使用方式不对，很容易发生火灾。以下几点消毒安全注意事项要格外留心：①酒精擦拭比喷洒更安全； ②酒精着火一定不要用水泼；③酒精存放要密封、避光、远离明火；④84消毒液和洁厕灵不能同时使用→http://t.cn/A6PdOZ2O ,,无,无,TRUE,无,无,2020/2/8 8:40,生活百科 · 视频社区,0,0,1,3
It80zxvBr,"转发理由:#辟谣# 成都全市主干道今晚要进行大面积消毒？是谣言！  
原始用户: 成都城市管理
转发内容: #辟谣##疫情辟谣# 【成都全市主干道今晚要进行大面积消毒？是谣言！】 近日，成都市民社交平台流传一则谣言，传言称，成都定于今晚12点对全市主干道进行大面积消杀、消毒工作。因此次消毒药水浓度较大，请各位与今晚10后务必呆在家中，不要随意出入，睡觉时请紧闭门窗。经核实，此传言不属实，系谣言。请广大市民不信谣，不传谣。@微博辟谣@成都公安@净网2020 原图 ",,无,http://wx3.sinaimg.cn/large/c31be623gy1gbo1s5f05pj20v90lxtfj.jpg,FALSE,无,无,2020/2/7 20:02,小布的Android,1,1,0,1
IsVDldiaB,"转发理由:#辟谣# 这个提示牌！假！的！  
原始用户: 成都发布
转发内容: #辟谣#【这个提示牌！假！的！】目前，网上流传一张图片称：“离开成都再回来，需要隔离14天，请你想好再上高速。”我局已对全市高速公路、国省干线逐一进行排查，均未设置此类提示牌。请广大市民朋友不信谣不传谣！了解疫情信息，认准官方发布！（成都交通运输  ）  原图 ",,无,http://wx4.sinaimg.cn/large/5ad2d3c5gy1gbmiby0zhzj20go0m8wfq.jpg,FALSE,无,无,2020/2/6 12:32,小布的Android,0,0,0,1
IrBIF98ch,【转发辟谣！#这些疫情谣言不要信#】钟南山建议全国人民在家隔离两周？吃大蒜胜过杀病毒的口腔药物？吃香蕉会得新型冠状病毒肺炎？香油滴鼻孔可阻断传染？人中涂风油精可预防呼吸道疾病？熏白醋能消毒空气？……这些传言通通都是假的！#最新疫情谣言汇总#，转给身边人！ （人民日报）  [组图共9张] 原图 ,,"http://ww4.sinaimg.cn/large/006JagBWgy1gbcicc6zp9j30go0jnq52.jpg,http://ww3.sinaimg.cn/large/006JagBWgy1gbciccfw4sj30go0jnmzh.jpg,http://ww4.sinaimg.cn/large/006JagBWly1gbciccnejvj30go0jn76o.jpg,http://ww1.sinaimg.cn/large/006JagBWly1gbciccnmgrj30go0jnmzc.jpg,http://ww4.sinaimg.cn/large/006JagBWly1gbciccngo4j30go0jndi3.jpg,http://ww1.sinaimg.cn/large/006JagBWly1gbciccomlnj30go0jnjtn.jpg,http://ww1.sinaimg.cn/large/006JagBWly1gbciccobfoj30go0jnwgm.jpg,http://ww2.sinaimg.cn/large/006JagBWgy1gbciccm6iuj30go0jn0uu.jpg,http://ww3.sinaimg.cn/large/006JagBWly1gbcicct9dvj30go0jngnv.jpg",无,TRUE,无,无,2020/1/28 20:00,微博 weibo.com,1,1,1,1
Irk69987w,【#各地飞机喷洒消毒药水都是谣言#】请转发，相互转告，帮忙辟谣！ （人民日报）  原图 ,,http://wx2.sinaimg.cn/large/006JagBWgy1gbad6u46z7j30rs18gjxx.jpg,无,TRUE,无,无,2020/1/26 23:08,小布的Android,0,0,0,1
Ir6a4aVaG,【辟谣！这些传言都是假的】熏醋可以预防新型冠状病毒？钟南山院士建议盐水漱口防病毒？抽烟能预防病毒感染？喝酒能杀菌，不易感染？多带层口罩才能防住病毒？新型冠状病毒肺炎谣言汇总，这些统统都是假的！戳图了解↓↓不信谣，不传谣！扩散周知！  [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/006JagBWgy1gb8nnwqjeej30go0jnmyx.jpg,http://ww4.sinaimg.cn/large/006JagBWgy1gb8nnxa0w2j30go0jn0uf.jpg,http://ww4.sinaimg.cn/large/006JagBWgy1gb8nnxra0zj30go0jngnj.jpg,http://ww2.sinaimg.cn/large/006JagBWgy1gb8nny9m5gj30go0jnwg7.jpg,http://ww2.sinaimg.cn/large/006JagBWgy1gb8nnyt9sdj30go0jnwga.jpg,http://ww4.sinaimg.cn/large/006JagBWgy1gb8nnza39uj30go0jngnc.jpg,http://ww3.sinaimg.cn/large/006JagBWgy1gb8nnzthngj30go0jn0uj.jpg,http://ww1.sinaimg.cn/large/006JagBWgy1gb8no093lwj30go0jntaq.jpg,http://ww4.sinaimg.cn/large/006JagBWgy1gb8no0xz5kj30go0jngn7.jpg",无,TRUE,无,无,2020/1/25 11:39,小布的Android,6,2,0,1
