微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
JoWYv0QVu,【不信谣不传谣！#青岛本次疫情已确诊71例系谣言#】据“青岛辟谣网络平台”微信公众号：12日，几张有关青岛疫情的数据图表在朋友圈流传，有图表中显示青岛累计确诊71例，不少人误以为是本次疫情的数据。经查证，累计71例是年初疫情爆发以来青岛的确诊总量，并非本次疫情的确诊数量。提醒市民和广大网友及时关注权威部门发布的消息，不造谣、不信谣、不传谣。众志成城，共同阻击疫情。中新视频的微博视频 @中新视频                                 ,,无,无,TRUE,无,无,2020/10/13 7:20,无,7,2,2,3
IEy0uA56a,【#世卫组织辟谣新冠病毒起源自实验室#：已有证据表明病毒源自动物】#世卫称抗疫同时也在抗击虚假消息大流行#世卫组织发言人法德拉·沙伊卜21日表示，世界卫生组织目前正与两种“大流行”斗争，分别是新冠疫情大流行和“虚假信息大流行”，#世卫称抗疫同时也在抗击虚假消息大流行#。针对近期在媒体和社交平台上流传的一些有关新冠病毒起源的谬论，她表示，所有已知证据都表明新冠病毒源自动物，而不是经实验室人工干预或制造而来的。央视网的微博视频                                 ,,无,无,TRUE,无,无,2020/4/22 22:26,搜狗高速浏览器,6,2,0,2
ICeoGr6b8,#北京近期公布开学时间#【转起辟谣！#北京辟谣9月1日前不开学#】@北京市教委：近日，部分家长微信群流传“北京某区教委接到通知，确认9月1日前不会复学”“网课就这么一直上下去“等信息，对此，北京市委教育工委、市教委明确表示，这是一条虚假信息。目前，北京市委教育工委、市教委正在分批次、分类型做开学准备工作，制定各批次、各年级开学详细计划。近期，市委教育工委、市教委将公布具体开学时间。@央视新闻                  原图                             ,,http://wx3.sinaimg.cn/large/006e0yOIly1gdlawdiobqj30go0godiq.jpg,无,TRUE,无,无,2020/4/7 16:50,无,1,0,1,1
IBAF1uWq5,【教育部辟谣：#6月份英语四六级考试取消不实#】针对近日“原6月份大学英语四六级考试取消，与下半年考试合并”的传言，记者3日从教育部考试中心证实，教育部考试中心已于2月底发布公告，推迟全国范围内2020年上半年全国大学英语四六级考试（CET）、全国大学英语四六级口语考试（CET-SET）、全国外语水平考试（WSK）、书画等级考试（CCPT）网上报名工作，并未发布取消考试的通知。（新华社）                  原图                             ,,http://wx2.sinaimg.cn/large/006e0yOIly1gdgfh1xcn7j30j60j376h.jpg,无,TRUE,无,无,2020/4/3 11:41,搜狗高速浏览器,0,0,0,1
Iwz8kogRh,【@人民日报 辟谣！#新冠肺炎最新谣言汇总#】钟南山“预测”各地解除限制时间？北京积水潭医院将建方舱医院？3万只羊赶往二连浩特？…这些说法你听过吗？统统都是假的↓↓不信谣，不传谣，转发辟谣！  [组图共14张] 原图 ,,"http://ww2.sinaimg.cn/large/006e0yOIly1gce84nmzwnj30jf0jyq62.jpg,http://ww4.sinaimg.cn/large/006e0yOIly1gce84ntytpj30m60izdiv.jpg,http://ww1.sinaimg.cn/large/006e0yOIly1gce84o5n90j30m50len0r.jpg,http://ww2.sinaimg.cn/large/006e0yOIly1gce84olhd3j30m60msq6b.jpg,http://ww3.sinaimg.cn/large/006e0yOIly1gce84p3g0uj30m60l6whh.jpg,http://ww1.sinaimg.cn/large/006e0yOIly1gce84nci2vj30m60lwtc8.jpg,http://ww2.sinaimg.cn/large/006e0yOIly1gce84pcpyqj30m00mswie.jpg,http://ww4.sinaimg.cn/large/006e0yOIly1gce84pj7pdj30m40j376z.jpg,http://ww2.sinaimg.cn/large/006e0yOIly1gce84pqjzyj30m30l0q6m.jpg,http://ww2.sinaimg.cn/large/006e0yOIly1gce84pwv2ij30m60kcju2.jpg,http://ww3.sinaimg.cn/large/006e0yOIly1gce84q4i9hj30m60gmq5a.jpg,http://ww3.sinaimg.cn/large/006e0yOIly1gce84qadz2j30m70hz76j.jpg,http://ww3.sinaimg.cn/large/006e0yOIly1gce84qh4iyj30m50lsdjy.jpg,http://ww4.sinaimg.cn/large/006e0yOIly1gce84qqbqtj30m50msjul.jpg",无,TRUE,无,无,2020/3/1 10:36,无,7,2,2,1
