微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
Ji0KujkhS,【辟谣！社保疫情补助，没有这回事儿！】近期，关于社保疫情补助的一些不实消息。在朋友圈、微信群等渠道流传。@成都人社局 来辟谣，下图消息是假的！成都社保局没有发放疫情补助，社保经办服务大厅二楼33、34、35号窗口也没有办理此项业务。疫情期间，请大家不要白跑一趟！（成都发布）  原图 ,,http://wx4.sinaimg.cn/large/7a859ad3gy1gi6l64cei5j20j60f37dd.jpg,无,TRUE,无,无,2020/8/28 16:04,微博 weibo.com,2,1,2,1
J6Jnq0qLr,【扩散！支付宝、微信同时辟谣】近日，网上曾有消息称“支付宝和微信提供数据，锁定35万人帮助进行病毒筛查”。支付宝、微信官方微博声明如下：（成都商报）  [组图共2张] 原图 ,,"http://ww4.sinaimg.cn/large/7a859ad3gy1gfstlcfglej20j608vae2.jpg,http://ww3.sinaimg.cn/large/7a859ad3gy1gfstlm9fgzj20ig08x421.jpg",无,TRUE,无,无,2020/6/15 11:37,微博 weibo.com,1,1,3,1
IBAWTjowZ,#教育部辟谣取消6月份四六级考试#不实！英语考试最常考的450个短语！适用于四六级、考研等各种考试！   成都·成都高新技术开发区  显示地图 [组图共9张] 原图 ,,"http://ww2.sinaimg.cn/large/7a859ad3gy1gdggqcxdmfj20u037yk3g.jpg,http://ww1.sinaimg.cn/large/7a859ad3gy1gdggqfi39ij20u02xqwq6.jpg,http://ww1.sinaimg.cn/large/7a859ad3gy1gdggqia0gej20u030gk31.jpg,http://ww2.sinaimg.cn/large/7a859ad3gy1gdggqk5fcmj20u02z4alc.jpg,http://ww4.sinaimg.cn/large/7a859ad3gy1gdggqmibeaj20u031c15a.jpg,http://ww2.sinaimg.cn/large/7a859ad3gy1gdggqa80lqj20u02yhdre.jpg,http://ww1.sinaimg.cn/large/7a859ad3gy1gdggqo6w9yj20u02z4wpy.jpg,http://ww1.sinaimg.cn/large/7a859ad3gy1gdggqs43mej20u02yek2n.jpg,http://ww1.sinaimg.cn/large/7a859ad3gy1gdggqvlt5aj20u02rr49l.jpg",无,TRUE,无,#教育部辟谣取消6月份四六级考试#,2020/4/3 12:25,无,218,177,1,1
IAANN0K3v,#辟谣#【春季学期最多要挤占暑假23天？成都市教育局：假的！】3月27日，成都市教育局明确了全市学校的开学安排。接着，一张印有《2020年春季学期教学时间安排表（初稿）》字样的照片便在一些成都的家长群中疯传。对此，成都市教育局相关负责人表示，该表格显示的信息明显为不实信息，近期成都市教育局会陆续发布春季学期的教学安排、中考时间、幼儿园和特殊教育学校的开学时间等等，请家长一定以官方渠道发布的通知为准，切勿信谣传谣。（红星新闻） http://t.cn/z82JCyw 显示地图 原图 ,,http://wx1.sinaimg.cn/large/7a859ad3gy1gd8udrhwihj21f00sodm7.jpg,无,TRUE,无,http://t.cn/z82JCyw,2020/3/27 22:12,无,3,1,6,1
Iv7ylaP7W,【辟谣！网传“四川省学校将于3月2日开学”系虚假信息！】近日，有部分自媒体在网上传播四川省学校将于3月2日开学。2月20日，四川省教育厅确认此信息为虚假信息。教育厅重申，将坚持“三不原则”，严控春季开学时间。坚持大局为重，防控优先，疫情响应不解除不返校；坚持省上统筹，属地负责，物资保障不充分不开学；坚持生命至上，健康第一，措施落实不到位不开课。根据当前疫情发展形势，全省各级各类学校（高校、中小学、中职学校、幼儿园、校外培训机构）2020年2月底前暂不开学。目前，教育厅正在会同各市（州）教育行政部门指导各级各类学校细致全面地做好开学方案和准备工作。具体开学时间将视疫情防控情况，经科学评估后确定，届时提前向社会公布。请广大师生、家长和网友从官方权威渠道获取信息，不传谣、不信谣！（四川日报） 原图 ,,http://wx4.sinaimg.cn/large/7a859ad3gy1gc38o9xkiqj20c80og760.jpg,无,TRUE,无,无,2020/2/20 22:33,无,22,4,6,1
IuAcxv5Dy,【#辟谣# 网传学校将于3月2日起分批开学？假的！】近日，一张网络截图在成都各个家长群不断流传，截图内容为“疫情防控期间学校开学工作安排情况汇报”“根据省政府2月6日《公告》精神，原则上学校将于3月2日开学”“1、高三年级、初三年级于3月2日开学；高中高一、高二年级、初中初一、初二年级延迟一周开学；小学高年级（四五六年级）延迟2周开学”……对于上述内容，成都市教育局回应，该“情况汇报”与成都市并无关系，具体开学时间还有待公布，请家长切勿听信谣言，以官方渠道公布的开学时间为准。（红星新闻） 原图 ,,http://wx2.sinaimg.cn/large/7a859ad3gy1gbz5fmmeicj255126rqv6.jpg,无,TRUE,无,无,2020/2/17 9:39,无,4,6,4,1
It86LnJkm,#辟谣#【成都全市主干道今晚要进行大面积消毒？是谣言！】近日，成都市民社交平台流传一则谣言，传言称，成都定于今晚12点对全市主干道进行大面积消杀、消毒工作。因此次消毒药水浓度较大，请各位与今晚10后务必呆在家中，不要随意出入，睡觉时请紧闭门窗。经核实，此传言不属实，系谣言。请广大市民不信谣，不传谣。@成都城市管理 原图 ,,http://wx2.sinaimg.cn/large/7a859ad3gy1gbo3oq7cjnj20v90lx772.jpg,无,TRUE,无,无,2020/2/7 20:17,无,1,1,2,1
IsedocvdP,【诡异的疫情谣言？#辟谣# 真相在此！转扩！】  [组图共9张] 原图 ,,"http://ww1.sinaimg.cn/large/7a859ad3gy1gbh8xpgw36j20cf0m8abs.jpg,http://ww2.sinaimg.cn/large/7a859ad3gy1gbh8xox9h3j20cf0m80un.jpg,http://ww1.sinaimg.cn/large/7a859ad3gy1gbh8xpwj3yj20cf0m840a.jpg,http://ww4.sinaimg.cn/large/7a859ad3gy1gbh8xqbqnuj20cf0m8taj.jpg,http://ww3.sinaimg.cn/large/7a859ad3gy1gbh8xqov4hj20cf0m8q4r.jpg,http://ww3.sinaimg.cn/large/7a859ad3gy1gbh8xr4co0j20cf0m8jsy.jpg,http://ww3.sinaimg.cn/large/7a859ad3gy1gbh8xrlc1zj20cf0m8761.jpg,http://ww1.sinaimg.cn/large/7a859ad3gy1gbh8xo1i2cj20cf0m8jtf.jpg,http://ww2.sinaimg.cn/large/7a859ad3gy1gbh8xs1bvnj20cf0m8ac5.jpg",无,TRUE,无,无,2020/2/1 22:00,无,7,3,1,1
Is1oTDSS5,【成都海关紧急辟谣：不会征用口罩 或追究造谣者法律责任】口罩属于紧缺的抗疫物资，海关千方百计全力保障口罩快速通关，根本不存在征收情况。“这纯属是个谣言，造谣者太可恨了。”成都海关相关人士称，目前海关正在对该谣言进行调查。（成都日报）  原图 ,,http://wx3.sinaimg.cn/large/7a859ad3gy1gbfod564foj21yi0u0qv6.jpg,无,TRUE,无,无,2020/1/31 13:22,360安全浏览器,4,1,1,1
IrR3lcNuX,【网传“成都大邑两名高度疑似感染者私自离院不知去向”，辟谣：此消息不属实！】1月29日，一条消息在微信群迅速流传，称“大邑县居民任某英和任某梅于1月28日被诊断为高度疑似新型冠状病毒感染肺炎，二人于29日零时私自离院，不知去向”，引发众多网友强烈关注。大邑县卫健局辟谣：此消息并不属实，该二人确实存在，但并不是疑似病毒感染者，只是陪家人到医院看病的普通病人家属。（平安成都） 原图 ,,http://wx2.sinaimg.cn/large/7a859ad3gy1gbeeoknmd0j255126rqv6.jpg,无,TRUE,无,无,2020/1/30 11:02,无,2,1,0,3
Iro38DoDW,【假的！成都公交停运？谣言！】有网友反映，其收到一份《关于新型冠状病毒的肺炎疫情感染期间公交线路营运安排调整的通告》，称即（27）日起将对公交线路营运安排作出调整。经与@成都公交 核实，成都未发布此通告。并且，通告中提及的2路、33路、81路等线路已不存在。另有网友反映，有人造谣成都公交将停运。成都市交通运输局再次辟谣：这份公交调整通告是假的！目前我们也未接到成都公交停运的任何指令！ #疫情辟谣# @平安成都 @成都交通运输 @微成都 [组图共3张] 原图 ,,"http://ww2.sinaimg.cn/large/7a859ad3ly1gbaum3d0xwj20qo1bedjr.jpg,http://ww3.sinaimg.cn/large/7a859ad3ly1gbaum2juwij20u01t0792.jpg,http://ww2.sinaimg.cn/large/7a859ad3ly1gbaum2z7uij20u00unq56.jpg",无,TRUE,无,无,2020/1/27 9:12,无,14,30,22,1
Irk4Umt3P,【#各地飞机喷洒消毒药水都是谣言#】请转发，相互转告，帮忙辟谣！ #武汉确诊病例可能再增加约1000例#  原图 ,,http://wx3.sinaimg.cn/large/7a859ad3gy1gbad3uc37oj20rs18g47v.jpg,无,TRUE,无,无,2020/1/26 23:05,无,3,4,4,1
Irj7jchUA,【辟谣！白岩松独家回复：今晚不会对话钟南山】网传今晚9时30分，央视新闻频道白岩松主持《新型冠状病毒肺炎》专题现场直播 ，邀请钟南山院士介绍疫情，请家长朋友们届时观看。1月26日，据央视新闻频道《新闻1＋1》工作人员消息，此消息为谣言，今晚央视新闻1＋1无节目，明天才会播出。（红星新闻）  原图 ,,http://wx2.sinaimg.cn/large/7a859ad3gy1gba8v2hhqmj20dy08it9s.jpg,无,TRUE,无,无,2020/1/26 20:38,无,6,3,5,3
Ira9a0cpx,【成都出租汽车将停运？谣言！】#辟谣# 1月25日晚，一些市民收到一条署名“成都市城市交通客运管理处”发出的《关于市区出租车停运的通知》信息，该通知称“为全力做好新型冠状病毒感染的肺炎疫情防控工作，有效切断病毒传播途径，确保人民群众生命安全和身体健康，根据市新型冠状病毒感染的肺炎防控指挥部的公告要求，自http://t.cn/A6P5zMsM ，市区出租车一律停止运营，恢复时间另行告知。恳请广大驾驶员和市民理解、支持和配合！”成都市交通运输局严正申明：面对新型冠状病毒肺炎，成都市出租汽车行业正积极主动应对，为乘容提供安全、优质的出行服务，成都出租汽车将停运的信息纯属谣言，请广大乘客和出租汽车驾驶员切勿相信。特此辟谣！ 原图 ,,http://wx2.sinaimg.cn/large/7a859ad3gy1gb9594rorgj20gp0m8myn.jpg,无,TRUE,无,无,2020/1/25 21:48,无,6,2,4,1
Ir7aF8RFw,【转发辟谣！#钟南山被传染系谣言#】近日，有网传聊天截图称，钟南山院士被传染。今日上午，澎湃新闻从呼吸疾病国家重点实验室办公室获悉，钟南山院士正在开会；前述被传染的传闻系谣言，该单位正考虑发声辟谣。  原图 ,,http://wx4.sinaimg.cn/large/7a859ad3ly1gb8s4hdct0j20go0go77s.jpg,无,TRUE,无,无,2020/1/25 14:13,无,3,0,1,1
